Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
88,1569449027,lipplock512 (4/5),4,143.45,P Lucas Giolito P Jordan Lyles 1B Freddie Freeman OF Kole Calhoun 2B Michael Chavis SS Paul DeJong OF Lane Thomas C Reese McGuire 3B Colin Moran OF Melky Cabrera,,Josh Donaldson,3B,3.11%,4
89,1569439234,smith24s (2/2),0,143.4,P Miles Mikolas P Jordan Lyles SS Bo Bichette 2B Jeff McNeil OF Jorge Soler OF Juan Soto 3B Kris Bryant 1B Michael Chavis C Wilson Ramos OF Garrett Cooper,,Bubba Starling,OF,3.11%,0
90,1569441043,nlowejr (18/20),0,142.7,P Mike Minor P Steven Brault OF Ronald Acuña Jr. SS Javier Báez 3B Kris Bryant OF Kyle Schwarber OF Aristides Aquino 2B Ian Happ 1B Matt Olson C Victor Caratini,,Niko Goodrum,SS,3.03%,19
91,1569444480,DefendFreedom (12/20),0,142.15,P Mike Minor P Chris Bassitt OF Andrew Benintendi 3B Eugenio Suárez C Christian Vázquez OF Nick Senzel 1B Joey Votto 2B Kyle Farmer SS José Peraza OF Chris Owings,,Lucas Giolito,P,3.03%,31.9
92,1569432155,leatherface,2,142.1,P Mike Minor P Aaron Civale OF Ronald Acuña Jr. 3B Eugenio Suárez SS Gleyber Torres 1B José Abreu 2B Tommy Edman OF Harold Ramírez OF Eloy Jiménez C Andrew Knizner,,Andrew Benintendi,OF,2.94%,10
93,1569439614,DnHSquad (4/4),0,141.75,P Justin Verlander P Aaron Civale SS Francisco Lindor OF Jorge Soler 3B José Ramírez OF Yasiel Puig 1B Cheslor Cuthbert 2B Starlin Castro OF Greg Allen C Nick Dini,,Mark Canha,OF,2.86%,0
94,1569449618,drgonballs (9/20),1,141.65,P Aníbal Sánchez P Masahiro Tanaka 2B DJ LeMahieu OF Jorge Soler SS Gleyber Torres OF Kyle Schwarber C Gary Sánchez 1B Paul Goldschmidt OF Ian Happ 3B Dawel Lugo,,Michael Conforto,OF,2.78%,2
95,1569435168,Wanna_Square_Up1567 (13/20),1,141.55,P Mike Minor P Jordan Lyles OF Yordan Alvarez OF George Springer 2B Aledmys Díaz 1B Paul Goldschmidt C Robinson Chirinos OF Josh Reddick SS Ronny Rodríguez 3B Dawel Lugo,,Ronny Rodríguez,2B,2.78%,3
96,1569414608,Ssabotage (2/13),5,141.45,P Mike Minor P Jon Lester 2B Jose Altuve OF Marcell Ozuna C Gary Sánchez 1B Paul Goldschmidt SS Paul DeJong 3B Tommy Edman OF José Martínez OF Trent Grisham,,Wilson Ramos,C,2.78%,10
97,1569430046,nlemons (19/20),1,141.2,P Justin Verlander P Jordan Lyles OF Jeff McNeil OF Michael Conforto 1B Paul Goldschmidt SS Amed Rosario 3B Matt Chapman C Wilson Ramos 2B Joe Panik OF Lewis Brinson,,Jon Jay,OF,2.69%,0
