P,P,C,1B,2B,3B,SS,OF,OF,OF,,Instructions,,,,,,,,
,,,,,,,,,,,SP,Wil Crowe (13082415),Wil Crowe,13082415,P,5900,WAS@SF 08/05/2019 09:45PM ET,WAS,0
,,,,,,,,,,,SP,Braden Shipley (13082402),Braden Shipley,13082402,P,5800,PHI@ARI 08/05/2019 09:40PM ET,ARI,0
,,,,,,,,,,,RP,Kenley Jansen (13082124),Kenley Jansen,13082124,P,5700,STL@LAD 08/05/2019 10:10PM ET,LAD,3.8
,,,,,,,,,,,RP,Andrew Miller (13082129),Andrew Miller,13082129,P,5700,STL@LAD 08/05/2019 10:10PM ET,STL,2.92
,,,,,,,,,,,RP,Will Smith (13082191),Will Smith,13082191,P,5700,WAS@SF 08/05/2019 09:45PM ET,SF,4.3
,,,,,,,,,,,SP,Joe Ross (13082321),Joe Ross,13082321,P,5700,WAS@SF 08/05/2019 09:45PM ET,WAS,1.82
,,,,,,,,,,,SP,Nick Pivetta (13082407),Nick Pivetta,13082407,P,5600,PHI@ARI 08/05/2019 09:40PM ET,PHI,9.6
,,,,,,,,,,,OF,Cody Bellinger (13082406),Cody Bellinger,13082406,OF,5600,STL@LAD 08/05/2019 10:10PM ET,LAD,11.23
,,,,,,,,,,,SP,Erick Fedde (13082342),Erick Fedde,13082342,P,5600,WAS@SF 08/05/2019 09:45PM ET,WAS,5.78
,,,,,,,,,,,RP,Silvino Bracho (13082366),Silvino Bracho,13082366,P,5500,PHI@ARI 08/05/2019 09:40PM ET,ARI,0
,,,,,,,,,,,SP,Melvin Adon (13082462),Melvin Adon,13082462,P,5500,WAS@SF 08/05/2019 09:45PM ET,SF,0
,,,,,,,,,,,RP,Yoan Lopez (13082456),Yoan Lopez,13082456,P,5400,PHI@ARI 08/05/2019 09:40PM ET,ARI,2.2
,,,,,,,,,,,SP,Cole Irvin (13082383),Cole Irvin,13082383,P,5300,PHI@ARI 08/05/2019 09:40PM ET,PHI,5.58
,,,,,,,,,,,RP,Dennis Santana (13082400),Dennis Santana,13082400,P,5200,STL@LAD 08/05/2019 10:10PM ET,LAD,2.68
,,,,,,,,,,,RP,Reyes Moronta (13082313),Reyes Moronta,13082313,P,5200,WAS@SF 08/05/2019 09:45PM ET,SF,3.93
,,,,,,,,,,,RP,Jimmie Sherfy (13082408),Jimmie Sherfy,13082408,P,5100,PHI@ARI 08/05/2019 09:40PM ET,ARI,5.63
,,,,,,,,,,,RP,Giovanny Gallegos (13082388),Giovanny Gallegos,13082388,P,5100,STL@LAD 08/05/2019 10:10PM ET,STL,5.12
,,,,,,,,,,,SP,Henderson Alvarez (13082200),Henderson Alvarez,13082200,P,5100,WAS@SF 08/05/2019 09:45PM ET,WAS,0
,,,,,,,,,,,RP,Juan Nicasio (13082180),Juan Nicasio,13082180,P,5000,PHI@ARI 08/05/2019 09:40PM ET,PHI,2.24
,,,,,,,,,,,SP,Matt Koch (13082227),Matt Koch,13082227,P,5000,PHI@ARI 08/05/2019 09:40PM ET,ARI,-0.03
,,,,,,,,,,,2B/OF,Ketel Marte (13082308),Ketel Marte,13082308,2B/OF,5000,PHI@ARI 08/05/2019 09:40PM ET,ARI,9.85
,,,,,,,,,,,3B,Eduardo Escobar (13082199),Eduardo Escobar,13082199,3B,4900,PHI@ARI 08/05/2019 09:40PM ET,ARI,9.41
,,,,,,,,,,,SP,Jake Woodford (13082472),Jake Woodford,13082472,P,4900,STL@LAD 08/05/2019 10:10PM ET,STL,0
,,,,,,,,,,,3B,Anthony Rendon (13082196),Anthony Rendon,13082196,3B,4900,WAS@SF 08/05/2019 09:45PM ET,WAS,10.58
,,,,,,,,,,,SP,Dan Straily (13082218),Dan Straily,13082218,P,4800,PHI@ARI 08/05/2019 09:40PM ET,PHI,1.36
