Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
66,2382283755,telgar42,0,123.68,DST Dolphins  WR Stefon Diggs RB Derrick Henry WR Tyler Boyd TE Hunter Henry RB Kareem Hunt FLEX Anthony Firkser QB Josh Allen WR Tee Higgins,,Gabriel Davis,WR,3.50%,16.9
67,2381618033,tcross20,0,123.28,DST Colts  QB Ryan Fitzpatrick RB James White WR Keenan Allen WR DeVante Parker RB Nick Chubb FLEX Christian Kirk WR DJ Moore TE Hayden Hurst,,Matt Ryan,QB,3.50%,14.9
68,2381650347,NeefBuck88,0,123.2,DST Bills  TE Trey Burton FLEX Jamison Crowder WR Nelson Agholor RB Derrick Henry RB Kareem Hunt WR Christian Kirk QB Kyler Murray WR Justin Jefferson,,Jaguars ,DST,3.50%,4
69,2381127356,Starfire2005,0,123,DST Colts  WR Golden Tate FLEX DeAndre Hopkins WR Nelson Agholor WR Sterling Shepard RB Kenyan Drake TE Evan Engram RB Nick Chubb QB Kyler Murray,,Breshad Perriman,WR,3.50%,11.9
70,2381073922,mizop1,0,122.880005,DST Cardinals  QB Ryan Fitzpatrick TE Darren Waller WR Nelson Agholor WR Stefon Diggs RB Wayne Gallman Jr. RB Nyheim Hines FLEX Josh Jacobs WR Justin Jefferson,,Kirk Cousins,QB,3.50%,30.18
71,2381979679,jacktrimble,0,122.700005,DST Giants  QB Matt Ryan WR Keenan Allen WR DeVante Parker FLEX Stefon Diggs TE Jonnu Smith RB Brian Hill RB Nyheim Hines WR Justin Jefferson,,A.J. Green,FLEX,3.50%,0
72,2381636173,chucoley1,0,122.08,DST Dolphins  TE Kyle Rudolph WR DeAndre Hopkins WR DeVante Parker RB Mike Davis WR Corey Davis FLEX Hunter Henry QB Josh Allen RB Zack Moss,,Titans ,DST,3.50%,10
73,2381301952,Scotty321,0,121.479996,DST Colts  QB Teddy Bridgewater TE Darren Waller WR DeVante Parker WR Sterling Shepard RB Kenyan Drake RB Kareem Hunt WR DJ Moore FLEX Justin Jefferson,,Hayden Hurst,TE,3.50%,8.8
74,2381729752,tmoxx07,0,120.91999,DST Giants  WR DeVante Parker WR Sterling Shepard WR Stefon Diggs TE Hunter Henry RB Kareem Hunt RB Austin Ekeler FLEX DJ Moore QB Daniel Jones,,Cardinals ,DST,3.00%,8
75,2381770222,schager1,0,120.1,DST Jets  QB Matt Ryan TE Tyler Eifert RB Derrick Henry WR Keelan Cole Sr. RB Dalvin Cook WR Olamide Zaccheaus WR Calvin Ridley FLEX Josh Jacobs,,Raiders ,DST,3.00%,-1
76,2381120275,sdip60,0,119.8,DST Giants  QB Derek Carr WR DeAndre Hopkins WR DeVante Parker WR Stefon Diggs TE Austin Hooper FLEX Nick Chubb RB Brian Hill RB Nyheim Hines,,Anthony Firkser,TE,3.00%,0
77,2381687952,Drewdrew69me,0,119.78,DST Raiders  QB Ryan Fitzpatrick WR Cole Beasley TE Trey Burton WR Keenan Allen FLEX DeAndre Hopkins RB Wayne Gallman Jr. RB Nick Chubb WR Michael Pittman Jr.,,Tyler Eifert,TE,3.00%,10.6
78,2382033286,Kangel196,0,119.479996,DST Dolphins  WR A.J. Green TE Kyle Rudolph RB Dion Lewis WR DeAndre Hopkins FLEX Stefon Diggs RB Kenyan Drake QB Josh Allen WR A.J. Brown,,Olamide Zaccheaus,WR,3.00%,2.1
79,2382438661,expander,0,118.8,DST Giants  QB Derek Carr WR Keenan Allen TE Darren Waller WR Robby Anderson FLEX Breshad Perriman WR Tyler Boyd RB Nick Chubb RB Nyheim Hines,,Cam Newton,QB,2.50%,5.96
80,2381163781,brickaneers,0,117.78001,DST Browns  QB Ryan Fitzpatrick TE Kyle Rudolph WR Keenan Allen WR DeVante Parker FLEX Nelson Agholor WR Stefon Diggs RB Wayne Gallman Jr. RB Josh Jacobs,,James White,RB,2.50%,14.7
81,2382410573,jimmymac1305,0,117.600006,DST Dolphins  QB Derek Carr WR Nelson Agholor RB Kareem Hunt WR Curtis Samuel TE Mike Gesicki RB Josh Jacobs FLEX A.J. Brown WR Justin Jefferson,,Ryan Tannehill,QB,2.50%,19.14
82,2381214466,buldog12,0,117.41999,DST Bills  TE Trey Burton FLEX Darren Waller RB Derrick Henry WR Mike Williams WR Rashard Higgins QB Baker Mayfield WR Curtis Samuel RB Dalvin Cook,,Golden Tate,WR,2.50%,7.6
83,2381970675,Yeti918,0,116.9,DST Giants  QB Derek Carr TE Darren Waller WR Sterling Shepard FLEX Jordan Wilkins WR Keelan Cole Sr. RB Dalvin Cook RB James Robinson WR Justin Jefferson,,Bengals ,DST,2.50%,9
84,2382107186,DemDog70,0,116.49999,DST Jets  WR Keenan Allen TE Darren Waller WR Nelson Agholor RB Matt Breida WR KhaDarel Hodge RB Austin Ekeler FLEX Nick Chubb QB Kyler Murray,,Baker Mayfield,QB,2.50%,18.42
85,2382033327,osufan3872,0,116.479996,DST Vikings  QB Ryan Fitzpatrick WR Keenan Allen WR DeAndre Hopkins WR Stefon Diggs RB Wayne Gallman Jr. TE Hunter Henry RB Brian Hill FLEX Nyheim Hines,,Russell Gage,WR,2.50%,6.4
86,2381147033,left_unheard,0,116.380005,DST Giants  TE Jack Doyle WR Keenan Allen WR Stefon Diggs FLEX Brian Hill QB Josh Allen WR DJ Moore RB Nyheim Hines RB James Robinson,,Donovan Peoples-Jones,WR,2.00%,0
87,2382423383,weekssam,0,116.28,DST Browns  QB Ryan Fitzpatrick WR Robby Anderson WR Sterling Shepard FLEX Wayne Gallman Jr. TE Anthony Firkser RB Nick Chubb RB Dalvin Cook WR Christian Kirk,,Zack Moss,RB,2.00%,8.8
88,2382329939,paulooch,0,115.58,DST Dolphins  WR Cole Beasley WR T.Y. Hilton TE Darren Waller FLEX Curtis Samuel RB Dalvin Cook WR Hunter Renfrow QB Josh Allen RB Devin Singletary,,Giovani Bernard,RB,2.00%,6.9
89,2382332383,Awnaw,0,115.4,DST Giants  QB Derek Carr TE Darren Waller RB Kenyan Drake WR Corey Davis WR Keelan Cole Sr. WR Curtis Samuel FLEX Dalvin Cook RB James Robinson,,Falcons ,DST,1.50%,28
90,2381855001,jshalls01,0,115.18,DST Dolphins  WR Cole Beasley WR Jamison Crowder TE Hunter Henry RB Kareem Hunt FLEX Chase Edmonds QB Josh Allen WR Jakobi Meyers RB James Robinson,,Devin Singletary,RB,1.50%,12.2
91,2381686804,wared81,0,115.1,DST Dolphins  WR Damiere Byrd WR Breshad Perriman TE Jonnu Smith RB Dalvin Cook QB Kyler Murray RB Nyheim Hines FLEX James Robinson WR Tee Higgins,,Chase Edmonds,RB,1.50%,8.3
92,2382328660,jasen1972,0,114.619995,DST Browns  WR Jarvis Landry WR Jamison Crowder TE Austin Hooper WR Rashard Higgins RB Kareem Hunt QB Baker Mayfield RB Nick Chubb FLEX Dalvin Cook,,Tyler Kroft,TE,1.50%,0
93,2381115719,iamclaypetr,0,114.57999,DST Giants  QB Ryan Fitzpatrick WR Stefon Diggs RB Wayne Gallman Jr. TE Hunter Henry RB Jordan Wilkins FLEX Dalvin Cook WR Calvin Ridley WR Laviska Shenault Jr.,,KhaDarel Hodge,WR,1.50%,6.1
94,2381642060,FusterKluck,0,113.41999,DST Giants  WR DeVante Parker FLEX Wayne Gallman Jr. WR Tyler Boyd RB Kareem Hunt TE Evan Engram RB Dalvin Cook QB Daniel Jones WR Jakobi Meyers,,Henry Ruggs III,WR,1.50%,8.4
