C,C,W,W,W,D,D,G,UTIL,,Instructions,,,,,,,,
,,,,,,,,,,LW,Jake Virtanen (16154874) (LOCKED),Jake Virtanen,16154874,W/UTIL,3600,VAN@EDM 01/14/2021 09:00PM ET,VAN,6.8
,,,,,,,,,,LW,Andreas Athanasiou (16154798),Andreas Athanasiou,16154798,W/UTIL,3600,MIN@LA 01/14/2021 10:00PM ET,LA,7.12
,,,,,,,,,,D,Niklas Hjalmarsson (16154593) (LOCKED),Niklas Hjalmarsson,16154593,D/UTIL,3500,SJ@ARI 01/14/2021 09:00PM ET,ARI,4.97
,,,,,,,,,,C,Nick Bjugstad (16154660),Nick Bjugstad,16154660,C/UTIL,3500,MIN@LA 01/14/2021 10:00PM ET,MIN,4.05
,,,,,,,,,,LW,Lawson Crouse (16154934) (LOCKED),Lawson Crouse,16154934,W/UTIL,3400,SJ@ARI 01/14/2021 09:00PM ET,ARI,5.82
,,,,,,,,,,D,Kevin Shattenkirk (16154601),Kevin Shattenkirk,16154601,D/UTIL,3400,ANH@VGK 01/14/2021 10:00PM ET,ANH,7.66
,,,,,,,,,,RW,Zack Kassian (16154636) (LOCKED),Zack Kassian,16154636,W/UTIL,3400,VAN@EDM 01/14/2021 09:00PM ET,EDM,6.34
,,,,,,,,,,C,Joel Eriksson Ek (16154936),Joel Eriksson Ek,16154936,C/UTIL,3400,MIN@LA 01/14/2021 10:00PM ET,MIN,6.35
,,,,,,,,,,D,Jason Demers (16154623) (LOCKED),Jason Demers,16154623,D/UTIL,3300,SJ@ARI 01/14/2021 09:00PM ET,ARI,5.45
,,,,,,,,,,RW,Troy Terry (16154975),Troy Terry,16154975,W/UTIL,3300,ANH@VGK 01/14/2021 10:00PM ET,ANH,4.6
,,,,,,,,,,D,Tyson Barrie (16154697) (LOCKED),Tyson Barrie,16154697,D/UTIL,3300,VAN@EDM 01/14/2021 09:00PM ET,EDM,8.33
,,,,,,,,,,LW,Josh Archibald (16154754) (LOCKED),Josh Archibald,16154754,W/UTIL,3300,VAN@EDM 01/14/2021 09:00PM ET,EDM,5.06
,,,,,,,,,,C,Blake Lizotte (16155171),Blake Lizotte,16155171,C/UTIL,3300,MIN@LA 01/14/2021 10:00PM ET,LA,4.72
,,,,,,,,,,LW,Marcus Johansson (16154638),Marcus Johansson,16154638,W/UTIL,3200,MIN@LA 01/14/2021 10:00PM ET,MIN,5.78
,,,,,,,,,,C,Nick Bonino (16154646),Nick Bonino,16154646,C/UTIL,3200,MIN@LA 01/14/2021 10:00PM ET,MIN,8.41
,,,,,,,,,,D,Cam Fowler (16154658),Cam Fowler,16154658,D/UTIL,3100,ANH@VGK 01/14/2021 10:00PM ET,ANH,7.65
,,,,,,,,,,D,Jacob Larsson (16154940),Jacob Larsson,16154940,D/UTIL,3100,ANH@VGK 01/14/2021 10:00PM ET,ANH,3.97
,,,,,,,,,,C,Sam Steel (16155013),Sam Steel,16155013,C/UTIL,3100,ANH@VGK 01/14/2021 10:00PM ET,ANH,4.48
,,,,,,,,,,D,Travis Hamonic (16154642) (LOCKED),Travis Hamonic,16154642,D/UTIL,3100,VAN@EDM 01/14/2021 09:00PM ET,VAN,7.96
,,,,,,,,,,RW,Mats Zuccarello (16154655),Mats Zuccarello,16154655,W/UTIL,3100,MIN@LA 01/14/2021 10:00PM ET,MIN,6.58
,,,,,,,,,,D,Jonas Brodin (16154713),Jonas Brodin,16154713,D/UTIL,3100,MIN@LA 01/14/2021 10:00PM ET,MIN,7.03
,,,,,,,,,,D,Radim Simek (16155069) (LOCKED),Radim Simek,16155069,D/UTIL,3000,SJ@ARI 01/14/2021 09:00PM ET,SJ,4.46
,,,,,,,,,,C,Kyle Turris (16154595) (LOCKED),Kyle Turris,16154595,C/UTIL,3000,VAN@EDM 01/14/2021 09:00PM ET,EDM,5.54
,,,,,,,,,,RW,Brandon Sutter (16154599) (LOCKED),Brandon Sutter,16154599,W/UTIL,3000,VAN@EDM 01/14/2021 09:00PM ET,VAN,5.65
,,,,,,,,,,C,Adam Gaudette (16154977) (LOCKED),Adam Gaudette,16154977,C/UTIL,3000,VAN@EDM 01/14/2021 09:00PM ET,VAN,5.21
,,,,,,,,,,LW,Dominik Kahun (16155122) (LOCKED),Dominik Kahun,16155122,W/UTIL,3000,VAN@EDM 01/14/2021 09:00PM ET,EDM,6.55
,,,,,,,,,,RW,Stefan Noesen (16154721) (LOCKED),Stefan Noesen,16154721,W/UTIL,2900,SJ@ARI 01/14/2021 09:00PM ET,SJ,4.95
,,,,,,,,,,C,Joel Kellman (16155176) (LOCKED),Joel Kellman,16155176,C/UTIL,2900,SJ@ARI 01/14/2021 09:00PM ET,SJ,3.79
,,,,,,,,,,C,Michael Amadio (16154901),Michael Amadio,16154901,C/UTIL,2900,MIN@LA 01/14/2021 10:00PM ET,LA,4.18
,,,,,,,,,,RW,Kirill Kaprizov (16154971),Kirill Kaprizov,16154971,W/UTIL,2900,MIN@LA 01/14/2021 10:00PM ET,MIN,0
,,,,,,,,,,D,Kris Russell (16154580) (LOCKED),Kris Russell,16154580,D/UTIL,2800,VAN@EDM 01/14/2021 09:00PM ET,EDM,5.15
