C,C,W,W,W,D,D,G,UTIL,,Instructions,,,,,,,,
,,,,,,,,,,LW,Bokondji Imama (16155421),Bokondji Imama,16155421,W/UTIL,2500,MIN@LA 01/14/2021 10:00PM ET,LA,0
,,,,,,,,,,D,Dakota Mermis (16155425),Dakota Mermis,16155425,D/UTIL,2500,MIN@LA 01/14/2021 10:00PM ET,MIN,8.23
,,,,,,,,,,D,Kale Clague (16155433),Kale Clague,16155433,D/UTIL,2500,MIN@LA 01/14/2021 10:00PM ET,LA,2.05
,,,,,,,,,,LW,Carl Grundstrom (16155435),Carl Grundstrom,16155435,W/UTIL,2500,MIN@LA 01/14/2021 10:00PM ET,LA,3.78
,,,,,,,,,,RW,Dmitry Sokolov (16155439),Dmitry Sokolov,16155439,W/UTIL,2500,MIN@LA 01/14/2021 10:00PM ET,MIN,0
,,,,,,,,,,LW,Trevor Moore (16155441),Trevor Moore,16155441,W/UTIL,2500,MIN@LA 01/14/2021 10:00PM ET,LA,4.55
,,,,,,,,,,D,Brennan Menell (16155443),Brennan Menell,16155443,D/UTIL,2500,MIN@LA 01/14/2021 10:00PM ET,MIN,2.24
,,,,,,,,,,RW,Matt Luff (16155449),Matt Luff,16155449,W/UTIL,2500,MIN@LA 01/14/2021 10:00PM ET,LA,4.03
,,,,,,,,,,RW,Gerald Mayhew (16155457),Gerald Mayhew,16155457,W/UTIL,2500,MIN@LA 01/14/2021 10:00PM ET,MIN,3.98
,,,,,,,,,,C,Lias Andersson (16155461),Lias Andersson,16155461,C/UTIL,2500,MIN@LA 01/14/2021 10:00PM ET,LA,2.05
,,,,,,,,,,C,Jaret Anderson-Dolan (16155467),Jaret Anderson-Dolan,16155467,C/UTIL,2500,MIN@LA 01/14/2021 10:00PM ET,LA,0.75
,,,,,,,,,,D,Austin Strand (16155478),Austin Strand,16155478,D/UTIL,2500,MIN@LA 01/14/2021 10:00PM ET,LA,0
,,,,,,,,,,D,Daniel Brickley (16155482),Daniel Brickley,16155482,D/UTIL,2500,MIN@LA 01/14/2021 10:00PM ET,LA,0
,,,,,,,,,,C,Rasmus Kupari (16155486),Rasmus Kupari,16155486,C/UTIL,2500,MIN@LA 01/14/2021 10:00PM ET,LA,0
,,,,,,,,,,LW,Nico Sturm (16155493),Nico Sturm,16155493,W/UTIL,2500,MIN@LA 01/14/2021 10:00PM ET,MIN,3.69
,,,,,,,,,,D,Tobias Bjornfot (16155503),Tobias Bjornfot,16155503,D/UTIL,2500,MIN@LA 01/14/2021 10:00PM ET,LA,0
,,,,,,,,,,RW,Arthur Kaliyev (16155507),Arthur Kaliyev,16155507,W/UTIL,2500,MIN@LA 01/14/2021 10:00PM ET,LA,0
,,,,,,,,,,C,Marco Rossi (16155509),Marco Rossi,16155509,C/UTIL,2500,MIN@LA 01/14/2021 10:00PM ET,MIN,0
