QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions,,,,,,,,
,,,,,,,,,,WR,Phillip Dorsett II (16092740),Phillip Dorsett II,16092740,WR/FLEX,3000,LAR@SEA 01/09/2021 04:40PM ET,SEA,0
,,,,,,,,,,WR,Josh Gordon (16092742),Josh Gordon,16092742,WR/FLEX,3000,LAR@SEA 01/09/2021 04:40PM ET,SEA,0
,,,,,,,,,,WR,Nsimba Webster (16092744),Nsimba Webster,16092744,WR/FLEX,3000,LAR@SEA 01/09/2021 04:40PM ET,LAR,-0.06
,,,,,,,,,,WR,Trishton Jackson (16092746),Trishton Jackson,16092746,WR/FLEX,3000,LAR@SEA 01/09/2021 04:40PM ET,LAR,0
,,,,,,,,,,TE,Gerald Everett (16092768),Gerald Everett,16092768,TE/FLEX,3000,LAR@SEA 01/09/2021 04:40PM ET,LAR,6.26
,,,,,,,,,,WR,Tyler Johnson (16092712),Tyler Johnson,16092712,WR/FLEX,3000,TB@WAS 01/09/2021 08:15PM ET,TB,3.72
,,,,,,,,,,WR,Steven Sims Jr. (16092714),Steven Sims Jr.,16092714,WR/FLEX,3000,TB@WAS 01/09/2021 08:15PM ET,WAS,4.94
,,,,,,,,,,WR,Antonio Gandy-Golden (16092716),Antonio Gandy-Golden,16092716,WR/FLEX,3000,TB@WAS 01/09/2021 08:15PM ET,WAS,0.7
,,,,,,,,,,WR,Isaiah Wright (16092718),Isaiah Wright,16092718,WR/FLEX,3000,TB@WAS 01/09/2021 08:15PM ET,WAS,4.3
,,,,,,,,,,WR,Robert Foster (16092720),Robert Foster,16092720,WR/FLEX,3000,TB@WAS 01/09/2021 08:15PM ET,WAS,1.9
,,,,,,,,,,WR,Dontrelle Inman (16092722),Dontrelle Inman,16092722,WR/FLEX,3000,TB@WAS 01/09/2021 08:15PM ET,WAS,6.61
,,,,,,,,,,WR,Kelvin Harmon (16092724),Kelvin Harmon,16092724,WR/FLEX,3000,TB@WAS 01/09/2021 08:15PM ET,WAS,0
,,,,,,,,,,WR,Emanuel Hall (16092726),Emanuel Hall,16092726,WR/FLEX,3000,TB@WAS 01/09/2021 08:15PM ET,WAS,0
,,,,,,,,,,WR,Justin Watson (16092728),Justin Watson,16092728,WR/FLEX,3000,TB@WAS 01/09/2021 08:15PM ET,TB,2.34
