first_name,last_name,position,reg_line,pp_line,game_date,team,opp,over_under,implied_team_score,salary,L5_dvp_rank,L5_ppg_floor,L5_ppg_avg,L5_ppg_max,ppg_projection,value_projection,ppg_actual,value_actual
Nick,Ritchie,W,3,,2019-10-03,ANA,ARI,5.5,2.8,2800,2,0.5,3.7,6.5,3.7,1.3,,
Ryan,Suter,D,1,1,2019-10-03,MIN,NSH,5.5,2.4,4000,1,0.0,2.4,7.0,3.7,0.9,,
Alex,Killorn,W,2,2,2019-10-03,TBL,FLA,6.5,3.7,3500,7,0.0,3.3,13.5,3.6,1.0,,
Tucker,Poolman,D,3,,2019-10-03,WPG,NYR,6,2.9,2800,14,0.0,3.4,7.0,3.6,1.3,,
Chris,Wagner,W,4,,2019-10-03,BOS,DAL,5.5,2.8,2900,11,0.5,7.9,24.0,3.6,1.2,,
Jordan,Weal,W,4,1,2019-10-03,MTL,CAR,5.5,2.5,2700,23,1.5,8.3,19.5,3.6,1.3,,
Henri,Jokiharju,D,3,,2019-10-03,BUF,PIT,6,2.6,2500,25,0.0,2.7,6.0,3.6,1.4,,
Brendan,Guhle,D,2,2,2019-10-03,ANA,ARI,5.5,2.8,2900,10,0.5,4.3,12.0,3.5,1.2,,
Christian,Fischer,W,4,2,2019-10-03,ARI,ANA,5.5,2.7,3100,5,0.0,3.9,10.0,3.5,1.1,,
Nikita,Zadorov,D,2,,2019-10-03,COL,CGY,6.5,3.4,2700,29,1.0,3.3,7.0,3.5,1.3,,
Jacob,Larsson,D,3,,2019-10-03,ANA,ARI,5.5,2.8,3200,10,1.5,3.3,5.5,3.5,1.1,,
Joel,Eriksson Ek,C,4,,2019-10-03,MIN,NSH,5.5,2.4,2600,14,0.0,5.0,13.0,3.5,1.3,,
Connor,Clifton,D,3,,2019-10-03,BOS,DAL,5.5,2.8,2900,28,0.0,3.1,6.0,3.5,1.2,,
Jordan,Martinook,W,3,,2019-10-03,CAR,MTL,5.5,3,3000,13,0.0,3.3,5.0,3.5,1.2,,
Andrej,Sekera,D,2,,2019-10-03,DAL,BOS,5.5,2.8,3300,6,1.5,3.2,6.0,3.5,1.1,,
Martin,Necas,W,4,1,2019-10-03,CAR,MTL,5.5,3,2600,13,0.0,4.1,10.0,3.5,1.3,,
Jake,McCabe,D,2,,2019-10-03,BUF,PIT,6,2.6,3200,25,1.5,3.1,6.0,3.4,1.1,,
Ryan,Hartman,W,4,,2019-10-03,MIN,NSH,5.5,2.4,2900,28,1.5,4.3,11.5,3.4,1.2,,
Anton,Stralman,D,3,,2019-10-03,FLA,TBL,6.5,2.8,2900,27,0.5,3.8,10.0,3.4,1.2,,
Noel,Acciari,C,4,,2019-10-03,FLA,TBL,6.5,2.8,2600,16,1.5,5.1,14.5,3.3,1.3,,
Jimmy,Vesey,W,3,,2019-10-03,BUF,PIT,6,2.6,3900,25,0.0,2.2,4.5,3.3,0.8,,
Dominik,Kahun,W,3,2,2019-10-03,PIT,BUF,6,3.4,3000,24,0.0,4.0,10.0,3.3,1.1,,
Oliver,Kylington,D,3,,2019-10-03,CGY,COL,6.5,3.1,2900,18,0.5,3.4,8.5,3.3,1.1,,
Derek,Grant,C,4,,2019-10-03,ANA,ARI,5.5,2.8,2600,4,0.5,4.1,10.0,3.3,1.3,,
Par,Lindholm,C,4,,2019-10-03,BOS,DAL,5.5,2.8,3300,6,1.5,3.0,6.5,3.3,1.0,,
Danton,Heinen,W,3,2,2019-10-03,BOS,DAL,5.5,2.8,3300,11,1.5,3.0,7.5,3.3,1.0,,
Brock,McGinn,W,1,,2019-10-03,CAR,MTL,5.5,3,3200,13,0.0,2.7,6.0,3.3,1.0,,
Matt,Grzelcyk,D,3,2,2019-10-03,BOS,DAL,5.5,2.8,3500,28,0.0,3.1,11.5,3.3,0.9,,
Colton,Sissons,W,4,,2019-10-03,NSH,MIN,5.5,3.1,2800,19,1.5,3.2,6.5,3.3,1.2,,
Ben,Chiarot,D,2,,2019-10-03,MTL,CAR,5.5,2.5,3400,5,1.0,2.7,5.0,3.3,1.0,,
Michael,Frolik,W,2,,2019-10-03,CGY,COL,6.5,3.1,4200,1,1.5,2.2,3.0,3.2,0.8,,
Josh,Manson,D,1,,2019-10-03,ANA,ARI,5.5,2.8,3500,10,0.0,2.3,4.5,3.2,0.9,,
Joonas,Donskoi,W,3,2,2019-10-03,COL,CGY,6.5,3.4,3100,31,0.0,3.1,8.0,3.2,1.0,,
Niklas,Hjalmarsson,D,2,,2019-10-03,ARI,ANA,5.5,2.7,3400,22,0.5,2.4,4.5,3.2,0.9,,
Nick,Bonino,C,4,,2019-10-03,NSH,MIN,5.5,3.1,2700,19,0.0,3.9,9.5,3.2,1.2,,
Nick,Seeler,D,3,,2019-10-03,MIN,NSH,5.5,2.4,2700,1,0.5,2.7,6.0,3.2,1.2,,
Dan,Hamhuis,D,3,,2019-10-03,NSH,MIN,5.5,3.1,2700,8,0.0,3.1,9.0,3.2,1.2,,
Dominik,Simon,W,4,,2019-10-03,PIT,BUF,6,3.4,2800,24,0.0,2.9,7.0,3.1,1.1,,
Erik,Gudbranson,D,3,,2019-10-03,PIT,BUF,6,3.4,2800,17,0.5,3.4,10.5,3.0,1.1,,
Roman,Polak,D,3,,2019-10-03,DAL,BOS,5.5,2.8,2700,6,0.5,3.0,9.0,3.0,1.1,,
Jack,Johnson,D,2,,2019-10-03,PIT,BUF,6,3.4,3100,17,0.0,2.4,4.5,3.0,1.0,,
Yannick,Weber,D,3,,2019-10-03,NSH,MIN,5.5,3.1,2800,8,0.0,2.4,6.0,3.0,1.1,,
Zach,Aston-Reese,W,4,,2019-10-03,PIT,BUF,6,3.4,2700,24,0.0,2.7,4.5,3.0,1.1,,
Teddy,Blueger,C,4,,2019-10-03,PIT,BUF,6,3.4,2800,3,0.5,2.7,5.5,2.9,1.0,,
Anthony,Bitetto,D,3,,2019-10-03,WPG,NYR,6,2.9,2600,14,0.5,2.1,6.0,2.9,1.1,,
Johan,Larsson,C,4,,2019-10-03,BUF,PIT,6,2.6,2700,8,0.5,2.7,4.5,2.9,1.1,,
