C,C,W,W,W,D,D,G,UTIL,,Instructions,,,,,,,,
,,,,,,,,,,D,Jonas Brodin (16216247),Jonas Brodin,16216247,D/UTIL,3500,SJ@MIN 01/22/2021 08:00PM ET,MIN,10.15
,,,,,,,,,,D,Patrik Nemeth (16216217),Patrik Nemeth,16216217,D/UTIL,3400,DET@CHI 01/22/2021 08:00PM ET,DET,6.62
,,,,,,,,,,D,Calvin de Haan (16216178),Calvin de Haan,16216178,D/UTIL,3300,DET@CHI 01/22/2021 08:00PM ET,CHI,3.82
,,,,,,,,,,D,Dante Fabbro (16216438),Dante Fabbro,16216438,D/UTIL,3300,NSH@DAL 01/22/2021 08:30PM ET,NSH,6.27
,,,,,,,,,,LW,Marcus Johansson (16216180),Marcus Johansson,16216180,W/UTIL,3300,SJ@MIN 01/22/2021 08:00PM ET,MIN,3.62
,,,,,,,,,,RW,Andrew Shaw (16216275),Andrew Shaw,16216275,W/UTIL,3200,DET@CHI 01/22/2021 08:00PM ET,CHI,4.62
,,,,,,,,,,C,Kirby Dach (16216591),Kirby Dach,16216591,C/UTIL,3200,DET@CHI 01/22/2021 08:00PM ET,CHI,0
,,,,,,,,,,D,Stephen Johns (16216222),Stephen Johns,16216222,D/UTIL,3200,NSH@DAL 01/22/2021 08:30PM ET,DAL,0
,,,,,,,,,,LW,Joel Kiviranta (16216585),Joel Kiviranta,16216585,W/UTIL,3200,NSH@DAL 01/22/2021 08:30PM ET,DAL,0
,,,,,,,,,,LW,Mattias Janmark (16216334),Mattias Janmark,16216334,W/UTIL,3100,DET@CHI 01/22/2021 08:00PM ET,CHI,2.58
,,,,,,,,,,C,Nick Bonino (16216184),Nick Bonino,16216184,C/UTIL,3100,SJ@MIN 01/22/2021 08:00PM ET,MIN,6.52
,,,,,,,,,,LW,Calle Jarnkrok (16216220),Calle Jarnkrok,16216220,W/UTIL,3000,NSH@DAL 01/22/2021 08:30PM ET,NSH,4.77
,,,,,,,,,,LW,Vladislav Namestnikov (16216257),Vladislav Namestnikov,16216257,W/UTIL,2900,DET@CHI 01/22/2021 08:00PM ET,DET,2.9
,,,,,,,,,,D,Nikita Zadorov (16216314),Nikita Zadorov,16216314,D/UTIL,2900,DET@CHI 01/22/2021 08:00PM ET,CHI,5.12
,,,,,,,,,,C,Lucas Wallmark (16216377),Lucas Wallmark,16216377,C/UTIL,2900,DET@CHI 01/22/2021 08:00PM ET,CHI,3.62
,,,,,,,,,,D,Troy Stecher (16216430),Troy Stecher,16216430,D/UTIL,2900,DET@CHI 01/22/2021 08:00PM ET,DET,3.45
,,,,,,,,,,C,Radek Faksa (16216289),Radek Faksa,16216289,C/UTIL,2900,NSH@DAL 01/22/2021 08:30PM ET,DAL,0
,,,,,,,,,,D,Jon Merrill (16216215),Jon Merrill,16216215,D/UTIL,2800,DET@CHI 01/22/2021 08:00PM ET,DET,4.65
,,,,,,,,,,C,Victor Rask (16216261),Victor Rask,16216261,C/UTIL,2800,SJ@MIN 01/22/2021 08:00PM ET,MIN,3.25
,,,,,,,,,,LW,John Leonard (16216568),John Leonard,16216568,W/UTIL,2800,SJ@MIN 01/22/2021 08:00PM ET,SJ,6.15
,,,,,,,,,,C,Michael Rasmussen (16216506),Michael Rasmussen,16216506,C/UTIL,2700,DET@CHI 01/22/2021 08:00PM ET,DET,4.65
,,,,,,,,,,D,Ian Cole (16216152),Ian Cole,16216152,D/UTIL,2700,SJ@MIN 01/22/2021 08:00PM ET,MIN,2.73
,,,,,,,,,,D,Mario Ferraro (16216515),Mario Ferraro,16216515,D/UTIL,2700,SJ@MIN 01/22/2021 08:00PM ET,SJ,7.78
,,,,,,,,,,D,Jamie Oleksiak (16216249),Jamie Oleksiak,16216249,D/UTIL,2600,NSH@DAL 01/22/2021 08:30PM ET,DAL,0
,,,,,,,,,,D,Marc-Edouard Vlasic (16216124),Marc-Edouard Vlasic,16216124,D/UTIL,2600,SJ@MIN 01/22/2021 08:00PM ET,SJ,3.4
,,,,,,,,,,RW,Marcus Foligno (16216182),Marcus Foligno,16216182,W/UTIL,2600,SJ@MIN 01/22/2021 08:00PM ET,MIN,3.25
,,,,,,,,,,RW,Mats Zuccarello (16216195),Mats Zuccarello,16216195,W/UTIL,2600,SJ@MIN 01/22/2021 08:00PM ET,MIN,0
,,,,,,,,,,D,Trevor Daley (16216091),Trevor Daley,16216091,D/UTIL,2500,DET@CHI 01/22/2021 08:00PM ET,DET,0
,,,,,,,,,,D,Brent Seabrook (16216099),Brent Seabrook,16216099,D/UTIL,2500,DET@CHI 01/22/2021 08:00PM ET,CHI,0
,,,,,,,,,,C,Kyle Brodziak (16216105),Kyle Brodziak,16216105,C/UTIL,2500,DET@CHI 01/22/2021 08:00PM ET,DET,0
,,,,,,,,,,C,Valtteri Filppula (16216112),Valtteri Filppula,16216112,C/UTIL,2500,DET@CHI 01/22/2021 08:00PM ET,DET,0.7
,,,,,,,,,,D,Marc Staal (16216118),Marc Staal,16216118,D/UTIL,2500,DET@CHI 01/22/2021 08:00PM ET,DET,2.48
,,,,,,,,,,D,Jonathan Ericsson (16216128),Jonathan Ericsson,16216128,D/UTIL,2500,DET@CHI 01/22/2021 08:00PM ET,DET,0
,,,,,,,,,,LW,Frans Nielsen (16216130),Frans Nielsen,16216130,W/UTIL,2500,DET@CHI 01/22/2021 08:00PM ET,DET,3.53
,,,,,,,,,,C,Carl Soderberg (16216134),Carl Soderberg,16216134,C/UTIL,2500,DET@CHI 01/22/2021 08:00PM ET,CHI,0
,,,,,,,,,,LW,Darren Helm (16216144),Darren Helm,16216144,W/UTIL,2500,DET@CHI 01/22/2021 08:00PM ET,DET,0
,,,,,,,,,,RW,Sam Gagner (16216148),Sam Gagner,16216148,W/UTIL,2500,DET@CHI 01/22/2021 08:00PM ET,DET,2.25
,,,,,,,,,,RW,Justin Abdelkader (16216156),Justin Abdelkader,16216156,W/UTIL,2500,DET@CHI 01/22/2021 08:00PM ET,DET,0
,,,,,,,,,,C,Zack Smith (16216158),Zack Smith,16216158,C/UTIL,2500,DET@CHI 01/22/2021 08:00PM ET,CHI,0
,,,,,,,,,,D,Brian Lashoff (16216168),Brian Lashoff,16216168,D/UTIL,2500,DET@CHI 01/22/2021 08:00PM ET,DET,0
,,,,,,,,,,D,Cody Goloubef (16216189),Cody Goloubef,16216189,D/UTIL,2500,DET@CHI 01/22/2021 08:00PM ET,DET,0
,,,,,,,,,,D,Alex Biega (16216193),Alex Biega,16216193,D/UTIL,2500,DET@CHI 01/22/2021 08:00PM ET,DET,0
,,,,,,,,,,D,Dylan McIlrath (16216207),Dylan McIlrath,16216207,D/UTIL,2500,DET@CHI 01/22/2021 08:00PM ET,DET,0
,,,,,,,,,,LW,Brandon Pirri (16216232),Brandon Pirri,16216232,W/UTIL,2500,DET@CHI 01/22/2021 08:00PM ET,CHI,3
,,,,,,,,,,LW,Matt Puempel (16216255),Matt Puempel,16216255,W/UTIL,2500,DET@CHI 01/22/2021 08:00PM ET,DET,0
,,,,,,,,,,D,Nick Seeler (16216273),Nick Seeler,16216273,D/UTIL,2500,DET@CHI 01/22/2021 08:00PM ET,CHI,0
,,,,,,,,,,LW,Turner Elson (16216277),Turner Elson,16216277,W/UTIL,2500,DET@CHI 01/22/2021 08:00PM ET,DET,0
,,,,,,,,,,C,Luke Glendening (16216283),Luke Glendening,16216283,C/UTIL,2500,DET@CHI 01/22/2021 08:00PM ET,DET,4.85
,,,,,,,,,,RW,Riley Barber (16216300),Riley Barber,16216300,W/UTIL,2500,DET@CHI 01/22/2021 08:00PM ET,DET,0
,,,,,,,,,,D,Christian Djoos (16216304),Christian Djoos,16216304,D/UTIL,2500,DET@CHI 01/22/2021 08:00PM ET,DET,0
,,,,,,,,,,RW,Adam Erne (16216326),Adam Erne,16216326,W/UTIL,2500,DET@CHI 01/22/2021 08:00PM ET,DET,0.75
