first_name,last_name,position,injury_status,reg_line,pp_line,starting_goalie,game_date,slate,team,opp,spread,over_under,implied_team_score,salary,L5_dvp_rank,L5_ppg_floor,L5_ppg_avg,L5_ppg_max,ppg_projection,value_projection,pos
Bobby,Ryan,W,,2,1,,1/22/2021,Turbo,DET,CHI,1.5,6,2.9,4700,21,10,13.7,21.5,8,1.7,2
Roope,Hintz,C,,1,2,,1/22/2021,Turbo,DAL,NSH,1.5,5.5,2.8,4200,10,0,3.3,8,7.9,1.88,1
Vladislav,Namestnikov,W,,1,2,,1/22/2021,Turbo,DET,CHI,1.5,6,2.9,2900,21,1.5,6.4,22,7.9,2.72,1
Denis,Gurianov,W,,1,1,,1/22/2021,Turbo,DAL,NSH,1.5,5.5,2.8,4700,24,3,6.3,17,7.6,1.62,1
Filip,Hronek,D,,x,1,,1/22/2021,Turbo,DET,CHI,1.5,6,2.9,4600,29,2,7.5,12.5,7.5,1.63,x
Mattias,Ekholm,D,,x,2,,1/22/2021,Turbo,NSH,DAL,-1.5,5.5,2.8,4200,27,0.5,4.3,9,7.4,1.76,x
Nick,Bonino,C,,2,2,,1/22/2021,Turbo,MIN,SJS,-1.5,5.5,3.1,3100,19,1.5,5.7,21.5,7.4,2.39,2
Radek,Faksa,C,,3,2,,1/22/2021,Turbo,DAL,NSH,1.5,5.5,2.8,2900,10,1.5,3.4,7,7.1,2.45,3
Duncan,Keith,D,,x,2,,1/22/2021,Turbo,CHI,DET,-1.5,6,3.1,5700,5,0.5,7.9,12,7.1,1.25,x
Luke,Kunin,W,,2,,,1/22/2021,Turbo,NSH,DAL,-1.5,5.5,2.8,5000,3,1.5,8.8,14.5,7.1,1.42,2
Andrew,Shaw,W,,3,1,,1/22/2021,Turbo,CHI,DET,-1.5,6,3.1,3200,14,0,3.7,6.5,7,2.19,3
Ryan,Johansen,C,,1,1,,1/22/2021,Turbo,NSH,DAL,-1.5,5.5,2.8,4700,8,3,6.7,11,6.9,1.47,1
Ryan,Suter,D,,x,2,,1/22/2021,Turbo,MIN,SJS,-1.5,5.5,3.1,4600,30,0.5,6.6,22.5,6.9,1.5,x
Jonas,Brodin,D,,x,2,,1/22/2021,Turbo,MIN,SJS,-1.5,5.5,3.1,3500,30,3,10,15,6.8,1.94,x
