Player_Name,Salary,Team,Pos,Opp,Proj_FP
DeAndre Hopkins,7600.00,HOU,WR,MIA,20.11
David Njoku,4600.00,CLE,TE,PIT,12.21
Emmanuel Sanders,6500.00,DEN,WR,KCC,17.17
Andre Roberts,3100.00,NYJ,WR,CHI,8.18
T.Y. Hilton,6300.00,IND,WR,OAK,16.58
Washington Redskins,2700.00,WAS,DST,NYG,7.11
Minnesota Vikings,2300.00,MIN,DST,NOS,6.05
Saquon Barkley,8800.00,NYG,RB,WAS,23.13
Javorius Allen,4000.00,BAL,RB,CAR,10.48
Antonio Brown,8500.00,PIT,WR,CLE,22.31
Mike Gesicki,2700.00,MIA,TE,HOU,7.04
Michael Crabtree,4800.00,BAL,WR,CAR,12.51
Nick Chubb,4700.00,CLE,RB,PIT,12.2
Rob Gronkowski,6100.00,NEP,TE,BUF,15.89
Alex Collins,4600.00,BAL,RB,CAR,11.86
David Johnson,6700.00,ARI,RB,SFO,17.06
A.J. Green,8000.00,CIN,WR,TBB,20.38
James White,7600.00,NEP,RB,BUF,19.27
Jordan Howard,4800.00,CHI,RB,NYJ,12.14
Cameron Meredith,3500.00,NOS,WR,MIN,8.83
Arizona Cardinals,3200.00,ARI,DST,SFO,8.05
Jimmy Graham,4700.00,GBP,TE,LAR,11.79
Paul Richardson,4000.00,WAS,WR,NYG,10.05
Jordan Reed,4500.00,WAS,TE,NYG,11.24
Philadelphia Eagles,2900.00,PHI,DST,JAC,7.24
Jermaine Kearse,4300.00,NYJ,WR,CHI,10.73
C.J. Uzomah,3500.00,CIN,TE,TBB,8.74
Travis Kelce,6800.00,KCC,TE,DEN,16.99
Odell Beckham,7500.00,NYG,WR,WAS,18.6
Houston Texans,3100.00,HOU,DST,MIA,7.68
Adam Thielen,9000.00,MIN,T3,NOS,22.14
Brandin Cooks,6900.00,LAR,WR,GBP,16.92
Sammy Watkins,4600.00,KCC,WR,DEN,11.27
DeSean Jackson,5300.00,TBB,WR,CIN,12.94
Nyheim Hines,3800.00,IND,RB,OAK,9.27
Chicago Bears,4100.00,CHI,DST,NYJ,10.01
Carolina Panthers,2500.00,CAR,DST,BAL,6.09
New York Giants,2400.00,NYG,DST,WAS,5.86
Chris Godwin,4500.00,TBB,WR,CIN,10.97
Stefon Diggs,6900.00,MIN,T5,NOS,16.85
Ricky Seals-Jones,3000.00,ARI,TE,SFO,7.3
Willie Snead,4200.00,BAL,WR,CAR,10.15
O.J. Howard,3900.00,TBB,TE,CIN,9.45
John Brown,5900.00,BAL,WR,CAR,14.19
Duke Johnson,3900.00,CLE,RB,PIT,9.4
Taylor Gabriel,5100.00,CHI,WR,NYJ,12.29
Will Fuller,6100.00,HOU,WR,MIA,14.71
Tyler Lockett,5200.00,SEA,WR,DET,12.46
Trey Burton,4800.00,CHI,TE,NYJ,11.54
Marvin Jones,4800.00,DET,WR,SEA,11.47
Nelson Agholor,4600.00,PHI,WR,JAC,10.97
Tarik Cohen,5800.00,CHI,RB,NYJ,13.78
Antonio Callaway,3800.00,CLE,WR,PIT,9.01
Kelvin Benjamin,3800.00,BUF,WR,NEP,9.02
Evan Engram,4300.00,NYG,TE,WAS,10.19
Courtland Sutton,3800.00,DEN,WR,KCC,8.98
Indianapolis Colts,2900.00,IND,DST,OAK,6.83
Jarvis Landry,7200.00,CLE,WR,PIT,16.98
Mark Ingram,5300.00,NOS,RB,MIN,12.49
Adrian Peterson,4900.00,WAS,RB,NYG,11.55
Devontae Booker,3700.00,DEN,RB,KCC,8.67
Chester Rogers,4200.00,IND,WR,OAK,9.83
Davante Adams,7900.00,GBP,WR,LAR,18.49
Alvin Kamara,7000.00,NOS,T3,MIN,16.41
Larry Fitzgerald,4400.00,ARI,WR,SFO,10.24
Mike Evans,7800.00,TBB,WR,CIN,18.19
