QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions,,,,,,,,
,,,,,,,,,,QB,Derek Carr (36359242),Derek Carr,36359242,QB,5700,NO@LAC 10/27/2024 04:05PM ET,NO,15.15
,,,,,,,,,,RB,Zack Moss (36359368),Zack Moss,36359368,RB/FLEX,5700,PHI@CIN 10/27/2024 01:00PM ET,CIN,10.71
,,,,,,,,,,QB,Trevor Lawrence (36359243),Trevor Lawrence,36359243,QB,5600,GB@JAX 10/27/2024 01:00PM ET,JAX,15.44
,,,,,,,,,,RB,Austin Ekeler (36359372),Austin Ekeler,36359372,RB/FLEX,5600,CHI@WAS 10/27/2024 04:25PM ET,WAS,10.32
,,,,,,,,,,WR,Tyler Lockett (36359656),Tyler Lockett,36359656,WR/FLEX,5600,BUF@SEA 10/27/2024 04:05PM ET,SEA,10.63
,,,,,,,,,,WR,Keon Coleman (36359658),Keon Coleman,36359658,WR/FLEX,5600,BUF@SEA 10/27/2024 04:05PM ET,BUF,9.09
,,,,,,,,,,QB,Bo Nix (36359244),Bo Nix,36359244,QB,5600,CAR@DEN 10/27/2024 04:25PM ET,DEN,15.48
,,,,,,,,,,RB,Alexander Mattison (36359370),Alexander Mattison,36359370,RB/FLEX,5600,KC@LV 10/27/2024 04:25PM ET,LV,12.09
,,,,,,,,,,RB,Tyler Goodson (36359376),Tyler Goodson,36359376,RB/FLEX,5500,IND@HOU 10/27/2024 01:00PM ET,IND,5.25
,,,,,,,,,,WR,Josh Downs (36359662),Josh Downs,36359662,WR/FLEX,5500,IND@HOU 10/27/2024 01:00PM ET,IND,12.82
,,,,,,,,,,WR,Christian Kirk (36359660),Christian Kirk,36359660,WR/FLEX,5500,GB@JAX 10/27/2024 01:00PM ET,JAX,9
,,,,,,,,,,TE,Trey McBride (36360096),Trey McBride,36360096,TE/FLEX,5500,ARI@MIA 10/27/2024 01:00PM ET,ARI,11.87
,,,,,,,,,,QB,Drake Maye (36359245),Drake Maye,36359245,QB,5500,NYJ@NE 10/27/2024 01:00PM ET,NE,15.15
,,,,,,,,,,RB,Ty Johnson (36359374),Ty Johnson,36359374,RB/FLEX,5500,BUF@SEA 10/27/2024 04:05PM ET,BUF,5.3
,,,,,,,,,,RB,Justice Hill (36359378),Justice Hill,36359378,RB/FLEX,5400,BAL@CLE 10/27/2024 01:00PM ET,BAL,9.2
,,,,,,,,,,WR,Jaylen Waddle (36359664),Jaylen Waddle,36359664,WR/FLEX,5400,ARI@MIA 10/27/2024 01:00PM ET,MIA,8.77
,,,,,,,,,,RB,Antonio Gibson (36359380),Antonio Gibson,36359380,RB/FLEX,5400,NYJ@NE 10/27/2024 01:00PM ET,NE,6.7
,,,,,,,,,,QB,Justin Herbert (36359247),Justin Herbert,36359247,QB,5400,NO@LAC 10/27/2024 04:05PM ET,LAC,12.49
,,,,,,,,,,QB,Sam Howell (36359246),Sam Howell,36359246,QB,5400,BUF@SEA 10/27/2024 04:05PM ET,SEA,0
,,,,,,,,,,RB,Zach Charbonnet (36359382),Zach Charbonnet,36359382,RB/FLEX,5400,BUF@SEA 10/27/2024 04:05PM ET,SEA,11.21
,,,,,,,,,,WR,Jakobi Meyers (36359666),Jakobi Meyers,36359666,WR/FLEX,5400,KC@LV 10/27/2024 04:25PM ET,LV,12.12
,,,,,,,,,,RB,Trey Sermon (36359384),Trey Sermon,36359384,RB/FLEX,5300,IND@HOU 10/27/2024 01:00PM ET,IND,5.31
,,,,,,,,,,WR,Dontayvion Wicks (36359668),Dontayvion Wicks,36359668,WR/FLEX,5300,GB@JAX 10/27/2024 01:00PM ET,GB,8.01
,,,,,,,,,,QB,Marcus Mariota (36359248),Marcus Mariota,36359248,QB,5300,CHI@WAS 10/27/2024 04:25PM ET,WAS,9.86
,,,,,,,,,,RB,Kimani Vidal (36359386),Kimani Vidal,36359386,RB/FLEX,5300,NO@LAC 10/27/2024 04:05PM ET,LAC,8
,,,,,,,,,,QB,Mitchell Trubisky (36359249),Mitchell Trubisky,36359249,QB,5300,BUF@SEA 10/27/2024 04:05PM ET,BUF,-0.02
,,,,,,,,,,WR,Courtland Sutton (36359670),Courtland Sutton,36359670,WR/FLEX,5300,CAR@DEN 10/27/2024 04:25PM ET,DEN,8.67
,,,,,,,,,,QB,Jameis Winston (36359251),Jameis Winston,36359251,QB,5200,BAL@CLE 10/27/2024 01:00PM ET,CLE,1.9
,,,,,,,,,,WR,Calvin Ridley (36359672),Calvin Ridley,36359672,WR/FLEX,5200,TEN@DET 10/27/2024 01:00PM ET,TEN,7.53
,,,,,,,,,,WR,Christian Watson (36359674),Christian Watson,36359674,WR/FLEX,5200,GB@JAX 10/27/2024 01:00PM ET,GB,6.05
,,,,,,,,,,QB,Tyrod Taylor (36359250),Tyrod Taylor,36359250,QB,5200,NYJ@NE 10/27/2024 01:00PM ET,NYJ,6.14
,,,,,,,,,,RB,Braelon Allen (36359392),Braelon Allen,36359392,RB/FLEX,5200,NYJ@NE 10/27/2024 01:00PM ET,NYJ,6.27
,,,,,,,,,,QB,Michael Penix Jr. (36359252),Michael Penix Jr.,36359252,QB,5200,ATL@TB 10/27/2024 01:00PM ET,ATL,0.56
,,,,,,,,,,RB,Sean Tucker (36359390),Sean Tucker,36359390,RB/FLEX,5200,ATL@TB 10/27/2024 01:00PM ET,TB,6.44
,,,,,,,,,,RB,Ray Davis (36359388),Ray Davis,36359388,RB/FLEX,5200,BUF@SEA 10/27/2024 04:05PM ET,BUF,7.03
,,,,,,,,,,RB,Jerome Ford (36359394),Jerome Ford,36359394,RB/FLEX,5100,BAL@CLE 10/27/2024 01:00PM ET,CLE,10.18
,,,,,,,,,,TE,David Njoku (36360098),David Njoku,36360098,TE/FLEX,5100,BAL@CLE 10/27/2024 01:00PM ET,CLE,10.62
,,,,,,,,,,QB,Mac Jones (36359254),Mac Jones,36359254,QB,5100,GB@JAX 10/27/2024 01:00PM ET,JAX,0.06
,,,,,,,,,,QB,Tyler Huntley (36359253),Tyler Huntley,36359253,QB,5100,ARI@MIA 10/27/2024 01:00PM ET,MIA,9.93
,,,,,,,,,,RB,Trey Benson (36359396),Trey Benson,36359396,RB/FLEX,5100,ARI@MIA 10/27/2024 01:00PM ET,ARI,2.32
,,,,,,,,,,RB,Tyler Allgeier (36359398),Tyler Allgeier,36359398,RB/FLEX,5100,ATL@TB 10/27/2024 01:00PM ET,ATL,8.09
