first_name,last_name,position,injury_status,reg_line,pp_line,starting_goalie,game_date,slate,team,opp,spread,over_under,implied_team_score,salary,L5_dvp_rank,L5_ppg_floor,L5_ppg_avg,L5_ppg_max,ppg_projection,value_projection
Adin,Hill,G,O,0,,#NAME?,1/20/2021,Late,ARI,VGK,1.5,5.5,2.3,6500,14,5.6,11.7,19.1,0,0
Ville,Husso,G,O,2,,#NAME?,1/20/2021,Late,STL,SJS,-1.5,6,3.4,8100,13,-7,-7,-7,0,0
Maxim,Letunov,C,O,0,,,1/20/2021,Late,SJS,STL,1.5,6,2.6,2500,28,0,4.5,12,0,0
Michael,McNiven,G,O,0,,#NAME?,1/20/2021,Late,MTL,VAN,-1.5,6,3.1,6500,27,,,,0,0
Vasili,Demchenko,G,O,0,,#NAME?,1/20/2021,Late,MTL,VAN,-1.5,6,3.1,6500,27,,,,0,0
Charlie,Lindgren,G,O,0,,#NAME?,1/20/2021,Late,MTL,VAN,-1.5,6,3.1,6500,27,2.8,7.3,14.4,0,0
Antti,Raanta,G,O,2,,#NAME?,1/20/2021,Late,ARI,VGK,1.5,5.5,2.3,6800,14,-7,8.2,17.2,0,0
Andrew,Hammond,G,O,0,,#NAME?,1/20/2021,Late,MIN,ANA,-1.5,5.5,2.9,6500,8,0,12.3,36.3,0,0
Jon,Gillies,G,O,0,,#NAME?,1/20/2021,Late,STL,SJS,-1.5,6,3.4,6500,13,-2.1,6.5,20.7,0,0
Manuel,Wiederer,C,O,0,,,1/20/2021,Late,SJS,STL,1.5,6,2.6,2500,28,,,,0,0
Klim,Kostin,W,O,0,,,1/20/2021,Late,STL,SJS,-1.5,6,3.4,2500,29,1.5,4,10,0,0
Cam,Talbot,G,O,1,,#NAME?,1/20/2021,Late,MIN,ANA,-1.5,5.5,2.9,7800,8,-6.3,11.2,17.2,0,0
Cayden,Primeau,G,O,0,,#NAME?,1/20/2021,Late,MTL,VAN,-1.5,6,3.1,6500,27,11.9,19.2,26.5,0,0
Josef,Korenar,G,O,0,,#NAME?,1/20/2021,Late,SJS,STL,1.5,6,2.6,6500,20,,,,0,0
Alexei,Melnichuk,G,O,0,,#NAME?,1/20/2021,Late,SJS,STL,1.5,6,2.6,6500,20,,,,0,0
Alex,Stalock,G,O,0,,#NAME?,1/20/2021,Late,MIN,ANA,-1.5,5.5,2.9,6500,8,-1.4,7.9,29.6,0,0
Jake,Allen,G,O,2,,#NAME?,1/20/2021,Late,MTL,VAN,-1.5,6,3.1,7800,27,0,14.3,29.3,0,0
