PG,SG,SF,PF,C,G,F,UTIL,,Instructions,,,,,,,,
,,,,,,,,,SG/SF,Sindarius Thornwell (16278917),Sindarius Thornwell,16278917,SG/SF/F/G/UTIL,3100,HOU@NO 01/30/2021 08:00PM ET,NO,3.5
,,,,,,,,,PG,Tre Jones (16278925),Tre Jones,16278925,PG/G/UTIL,3100,MEM@SA 01/30/2021 08:30PM ET,SA,2.59
,,,,,,,,,C,Tacko Fall (16279037),Tacko Fall,16279037,C/UTIL,3000,LAL@BOS 01/30/2021 08:30PM ET,BOS,11.56
,,,,,,,,,PG/SG,Carsen Edwards (16279039),Carsen Edwards,16279039,PG/SG/G/UTIL,3000,LAL@BOS 01/30/2021 08:30PM ET,BOS,8.64
,,,,,,,,,SF/PF,Grant Williams (16279043),Grant Williams,16279043,SF/PF/F/UTIL,3000,LAL@BOS 01/30/2021 08:30PM ET,BOS,11.17
,,,,,,,,,PG,Tremont Waters (16279047),Tremont Waters,16279047,PG/G/UTIL,3000,LAL@BOS 01/30/2021 08:30PM ET,BOS,8.38
,,,,,,,,,SG,Aaron Nesmith (16279050),Aaron Nesmith,16279050,SG/G/UTIL,3000,LAL@BOS 01/30/2021 08:30PM ET,BOS,7.81
,,,,,,,,,SG,Romeo Langford (16279053),Romeo Langford,16279053,SG/G/UTIL,3000,LAL@BOS 01/30/2021 08:30PM ET,BOS,0
,,,,,,,,,SF/PF,Jared Dudley (16279203),Jared Dudley,16279203,SF/PF/F/UTIL,3000,LAL@BOS 01/30/2021 08:30PM ET,LAL,2.08
,,,,,,,,,SG,Wesley Matthews (16279207),Wesley Matthews,16279207,SG/G/UTIL,3000,LAL@BOS 01/30/2021 08:30PM ET,LAL,9.21
,,,,,,,,,SF/PF,Alfonzo McKinnie (16279210),Alfonzo McKinnie,16279210,SF/PF/F/UTIL,3000,LAL@BOS 01/30/2021 08:30PM ET,LAL,2.8
,,,,,,,,,PG,Quinn Cook (16279214),Quinn Cook,16279214,PG/G/UTIL,3000,LAL@BOS 01/30/2021 08:30PM ET,LAL,3.04
,,,,,,,,,PF,Devontae Cacok (16279217),Devontae Cacok,16279217,PF/F/UTIL,3000,LAL@BOS 01/30/2021 08:30PM ET,LAL,2
,,,,,,,,,PF,Kostas Antetokounmpo (16279220),Kostas Antetokounmpo,16279220,PF/F/UTIL,3000,LAL@BOS 01/30/2021 08:30PM ET,LAL,8
,,,,,,,,,SG/SF,Caleb Martin (16278947),Caleb Martin,16278947,SG/SF/F/G/UTIL,3000,MIL@CHA 01/30/2021 08:00PM ET,CHA,13.09
,,,,,,,,,SG/SF,Cody Martin (16278952),Cody Martin,16278952,SG/SF/F/G/UTIL,3000,MIL@CHA 01/30/2021 08:00PM ET,CHA,8.93
,,,,,,,,,PG,Grant Riller (16278957),Grant Riller,16278957,PG/G/UTIL,3000,MIL@CHA 01/30/2021 08:00PM ET,CHA,0
,,,,,,,,,SG,Nate Darling (16278960),Nate Darling,16278960,SG/G/UTIL,3000,MIL@CHA 01/30/2021 08:00PM ET,CHA,0
,,,,,,,,,PF,Jalen McDaniels (16278963),Jalen McDaniels,16278963,PF/F/UTIL,3000,MIL@CHA 01/30/2021 08:00PM ET,CHA,7.47
,,,,,,,,,SG,Malik Monk (16278966),Malik Monk,16278966,SG/G/UTIL,3000,MIL@CHA 01/30/2021 08:00PM ET,CHA,8.17
,,,,,,,,,C,Nick Richards (16278969),Nick Richards,16278969,C/UTIL,3000,MIL@CHA 01/30/2021 08:00PM ET,CHA,2.5
,,,,,,,,,C,Vernon Carey Jr. (16278971),Vernon Carey Jr.,16278971,C/UTIL,3000,MIL@CHA 01/30/2021 08:00PM ET,CHA,3.42
,,,,,,,,,SG/SF,Torrey Craig (16279116),Torrey Craig,16279116,SG/SF/F/G/UTIL,3000,MIL@CHA 01/30/2021 08:00PM ET,MIL,6.8
,,,,,,,,,PF,Thanasis Antetokounmpo (16279121),Thanasis Antetokounmpo,16279121,PF/F/UTIL,3000,MIL@CHA 01/30/2021 08:00PM ET,MIL,6.75
,,,,,,,,,PF/C,D.J. Wilson (16279124),D.J. Wilson,16279124,PF/C/F/UTIL,3000,MIL@CHA 01/30/2021 08:00PM ET,MIL,9.39
,,,,,,,,,PG,Jaylen Adams (16279128),Jaylen Adams,16279128,PG/G/UTIL,3000,MIL@CHA 01/30/2021 08:00PM ET,MIL,0
,,,,,,,,,PF,Mamadi Diakite (16279131),Mamadi Diakite,16279131,PF/F/UTIL,3000,MIL@CHA 01/30/2021 08:00PM ET,MIL,0
,,,,,,,,,SG,Sam Merrill (16279134),Sam Merrill,16279134,SG/G/UTIL,3000,MIL@CHA 01/30/2021 08:00PM ET,MIL,6.11
,,,,,,,,,SF/PF,Jordan Nwora (16279137),Jordan Nwora,16279137,SF/PF/F/UTIL,3000,MIL@CHA 01/30/2021 08:00PM ET,MIL,9.53
,,,,,,,,,PG,Ryan Arcidiacono (16278973),Ryan Arcidiacono,16278973,PG/G/UTIL,3000,POR@CHI 01/30/2021 08:00PM ET,CHI,13
,,,,,,,,,C,Luke Kornet (16278976),Luke Kornet,16278976,C/UTIL,3000,POR@CHI 01/30/2021 08:00PM ET,CHI,4.75
,,,,,,,,,C,Cristiano Felicio (16278978),Cristiano Felicio,16278978,C/UTIL,3000,POR@CHI 01/30/2021 08:00PM ET,CHI,9.12
,,,,,,,,,SF,Chandler Hutchison (16278980),Chandler Hutchison,16278980,SF/F/UTIL,3000,POR@CHI 01/30/2021 08:00PM ET,CHI,8.65
,,,,,,,,,C,Daniel Gafford (16278983),Daniel Gafford,16278983,C/UTIL,3000,POR@CHI 01/30/2021 08:00PM ET,CHI,12.17
,,,,,,,,,PG,Devon Dotson (16278985),Devon Dotson,16278985,PG/G/UTIL,3000,POR@CHI 01/30/2021 08:00PM ET,CHI,5.25
,,,,,,,,,PG/SG,Adam Mokoka (16278988),Adam Mokoka,16278988,PG/SG/G/UTIL,3000,POR@CHI 01/30/2021 08:00PM ET,CHI,4.58
,,,,,,,,,SG,Keljin Blevins (16279141),Keljin Blevins,16279141,SG/G/UTIL,3000,POR@CHI 01/30/2021 08:00PM ET,POR,1.7
,,,,,,,,,C,Zach Collins (16279144),Zach Collins,16279144,C/UTIL,3000,POR@CHI 01/30/2021 08:00PM ET,POR,0
,,,,,,,,,SG,CJ Elleby (16279146),CJ Elleby,16279146,SG/G/UTIL,3000,POR@CHI 01/30/2021 08:00PM ET,POR,3.67
,,,,,,,,,SF/PF,Nassir Little (16279149),Nassir Little,16279149,SF/PF/F/UTIL,3000,POR@CHI 01/30/2021 08:00PM ET,POR,4.14
,,,,,,,,,C,Dwight Powell (16279071),Dwight Powell,16279071,C/UTIL,3000,PHO@DAL 01/30/2021 09:00PM ET,DAL,13.59
,,,,,,,,,C,Boban Marjanovic (16279073),Boban Marjanovic,16279073,C/UTIL,3000,PHO@DAL 01/30/2021 09:00PM ET,DAL,8.39
,,,,,,,,,SF,Wes Iwundu (16279075),Wes Iwundu,16279075,SF/F/UTIL,3000,PHO@DAL 01/30/2021 09:00PM ET,DAL,7.22
,,,,,,,,,PF,Tyler Bey (16279078),Tyler Bey,16279078,PF/F/UTIL,3000,PHO@DAL 01/30/2021 09:00PM ET,DAL,2.94
,,,,,,,,,SG,Nate Hinton (16279081),Nate Hinton,16279081,SG/G/UTIL,3000,PHO@DAL 01/30/2021 09:00PM ET,DAL,1.92
,,,,,,,,,PG/SG,Tyrell Terry (16279084),Tyrell Terry,16279084,PG/SG/G/UTIL,3000,PHO@DAL 01/30/2021 09:00PM ET,DAL,3.32
,,,,,,,,,SF/PF,Josh Green (16279088),Josh Green,16279088,SF/PF/F/UTIL,3000,PHO@DAL 01/30/2021 09:00PM ET,DAL,6.86
,,,,,,,,,SG/SF,E'Twaun Moore (16279244),E'Twaun Moore,16279244,SG/SF/F/G/UTIL,3000,PHO@DAL 01/30/2021 09:00PM ET,PHO,3.5
,,,,,,,,,PG/SG,Langston Galloway (16279249),Langston Galloway,16279249,PG/SG/G/UTIL,3000,PHO@DAL 01/30/2021 09:00PM ET,PHO,7.45
,,,,,,,,,C,Damian Jones (16279253),Damian Jones,16279253,C/UTIL,3000,PHO@DAL 01/30/2021 09:00PM ET,PHO,5.15
,,,,,,,,,PG/SG,Ty-Shon Alexander (16279255),Ty-Shon Alexander,16279255,PG/SG/G/UTIL,3000,PHO@DAL 01/30/2021 09:00PM ET,PHO,0.92
,,,,,,,,,PF/C,Jalen Smith (16279259),Jalen Smith,16279259,PF/C/F/UTIL,3000,PHO@DAL 01/30/2021 09:00PM ET,PHO,6
,,,,,,,,,SG,Klay Thompson (16279092),Klay Thompson,16279092,SG/G/UTIL,3000,DET@GS 01/30/2021 10:00PM ET,GS,0
,,,,,,,,,PF,Juan Toscano-Anderson (16279095),Juan Toscano-Anderson,16279095,PF/F/UTIL,3000,DET@GS 01/30/2021 10:00PM ET,GS,11.04
,,,,,,,,,C,Kevon Looney (16279098),Kevon Looney,16279098,C/UTIL,3000,DET@GS 01/30/2021 10:00PM ET,GS,11.87
,,,,,,,,,C,Marquese Chriss (16279100),Marquese Chriss,16279100,C/UTIL,3000,DET@GS 01/30/2021 10:00PM ET,GS,17.88
,,,,,,,,,SG,Mychal Mulder (16279102),Mychal Mulder,16279102,SG/G/UTIL,3000,DET@GS 01/30/2021 10:00PM ET,GS,6.99
,,,,,,,,,PG/SG,Jordan Poole (16279105),Jordan Poole,16279105,PG/SG/G/UTIL,3000,DET@GS 01/30/2021 10:00PM ET,GS,8.18
,,,,,,,,,PF/C,Alen Smailagic (16279109),Alen Smailagic,16279109,PF/C/F/UTIL,3000,DET@GS 01/30/2021 10:00PM ET,GS,0
,,,,,,,,,PG,Nico Mannion (16279113),Nico Mannion,16279113,PG/G/UTIL,3000,DET@GS 01/30/2021 10:00PM ET,GS,6.83
,,,,,,,,,SF,Rodney McGruder (16279263),Rodney McGruder,16279263,SF/F/UTIL,3000,DET@GS 01/30/2021 10:00PM ET,DET,1.42
,,,,,,,,,C,Jahlil Okafor (16279266),Jahlil Okafor,16279266,C/UTIL,3000,DET@GS 01/30/2021 10:00PM ET,DET,8.14
,,,,,,,,,PG,Frank Jackson (16279268),Frank Jackson,16279268,PG/G/UTIL,3000,DET@GS 01/30/2021 10:00PM ET,DET,5
,,,,,,,,,PG,Saben Lee (16279271),Saben Lee,16279271,PG/G/UTIL,3000,DET@GS 01/30/2021 10:00PM ET,DET,6.45
,,,,,,,,,PF,Sekou Doumbouya (16279274),Sekou Doumbouya,16279274,PF/F/UTIL,3000,DET@GS 01/30/2021 10:00PM ET,DET,8.9
,,,,,,,,,SG,Deividas Sirvydis (16279277),Deividas Sirvydis,16279277,SG/G/UTIL,3000,DET@GS 01/30/2021 10:00PM ET,DET,0
,,,,,,,,,PG,Killian Hayes (16279280),Killian Hayes,16279280,PG/G/UTIL,3000,DET@GS 01/30/2021 10:00PM ET,DET,11.07
,,,,,,,,,C,Udonis Haslem (16278992),Udonis Haslem,16278992,C/UTIL,3000,SAC@MIA 01/30/2021 08:00PM ET,MIA,0
,,,,,,,,,SG,Avery Bradley (16278994),Avery Bradley,16278994,SG/G/UTIL,3000,SAC@MIA 01/30/2021 08:00PM ET,MIA,16.69
,,,,,,,,,C,Meyers Leonard (16278997),Meyers Leonard,16278997,C/UTIL,3000,SAC@MIA 01/30/2021 08:00PM ET,MIA,7.42
,,,,,,,,,SF/PF,Moe Harkless (16278999),Moe Harkless,16278999,SF/PF/F/UTIL,3000,SAC@MIA 01/30/2021 08:00PM ET,MIA,4.28
,,,,,,,,,C,Chris Silva (16279003),Chris Silva,16279003,C/UTIL,3000,SAC@MIA 01/30/2021 08:00PM ET,MIA,9.5
,,,,,,,,,SG,Max Strus (16279005),Max Strus,16279005,SG/G/UTIL,3000,SAC@MIA 01/30/2021 08:00PM ET,MIA,8.72
,,,,,,,,,SF/PF,KZ Okpala (16279008),KZ Okpala,16279008,SF/PF/F/UTIL,3000,SAC@MIA 01/30/2021 08:00PM ET,MIA,7
,,,,,,,,,PF,Nemanja Bjelica (16279153),Nemanja Bjelica,16279153,PF/F/UTIL,3000,SAC@MIA 01/30/2021 08:00PM ET,SAC,14
,,,,,,,,,PG/SG,Cory Joseph (16279156),Cory Joseph,16279156,PG/SG/G/UTIL,3000,SAC@MIA 01/30/2021 08:00PM ET,SAC,14.85
,,,,,,,,,SF/PF,Jabari Parker (16279160),Jabari Parker,16279160,SF/PF/F/UTIL,3000,SAC@MIA 01/30/2021 08:00PM ET,SAC,0
,,,,,,,,,C,Chimezie Metu (16279164),Chimezie Metu,16279164,C/UTIL,3000,SAC@MIA 01/30/2021 08:00PM ET,SAC,10.47
,,,,,,,,,SG/SF,Justin James (16279166),Justin James,16279166,SG/SF/F/G/UTIL,3000,SAC@MIA 01/30/2021 08:00PM ET,SAC,4.32
,,,,,,,,,SF,DaQuan Jeffries (16279171),DaQuan Jeffries,16279171,SF/F/UTIL,3000,SAC@MIA 01/30/2021 08:00PM ET,SAC,0
,,,,,,,,,PG,Kyle Guy (16279174),Kyle Guy,16279174,PG/G/UTIL,3000,SAC@MIA 01/30/2021 08:00PM ET,SAC,8.69
,,,,,,,,,SG/SF,Robert Woodard II (16279177),Robert Woodard II,16279177,SG/SF/F/G/UTIL,3000,SAC@MIA 01/30/2021 08:00PM ET,SAC,3.83
,,,,,,,,,PG,Jahmi'us Ramsey (16279182),Jahmi'us Ramsey,16279182,PG/G/UTIL,3000,SAC@MIA 01/30/2021 08:00PM ET,SAC,3.38
,,,,,,,,,SG/SF,JJ Redick (16279012),JJ Redick,16279012,SG/SF/F/G/UTIL,3000,HOU@NO 01/30/2021 08:00PM ET,NO,12.97
,,,,,,,,,C,Guillermo Hernangomez (16279017),Guillermo Hernangomez,16279017,C/UTIL,3000,HOU@NO 01/30/2021 08:00PM ET,NO,5.5
,,,,,,,,,C,Will Magnay (16279019),Will Magnay,16279019,C/UTIL,3000,HOU@NO 01/30/2021 08:00PM ET,NO,0
,,,,,,,,,SF/PF,Wenyen Gabriel (16279021),Wenyen Gabriel,16279021,SF/PF/F/UTIL,3000,HOU@NO 01/30/2021 08:00PM ET,NO,0
,,,,,,,,,SF/PF,Naji Marshall (16279025),Naji Marshall,16279025,SF/PF/F/UTIL,3000,HOU@NO 01/30/2021 08:00PM ET,NO,1.67
,,,,,,,,,PG,Kira Lewis Jr. (16279029),Kira Lewis Jr.,16279029,PG/G/UTIL,3000,HOU@NO 01/30/2021 08:00PM ET,NO,6.86
,,,,,,,,,C,Jaxson Hayes (16279032),Jaxson Hayes,16279032,C/UTIL,3000,HOU@NO 01/30/2021 08:00PM ET,NO,10.36
,,,,,,,,,PF,Nicolo Melli (16279034),Nicolo Melli,16279034,PF/F/UTIL,3000,HOU@NO 01/30/2021 08:00PM ET,NO,7.58
,,,,,,,,,SG,Ben McLemore (16279185),Ben McLemore,16279185,SG/G/UTIL,3000,HOU@NO 01/30/2021 08:00PM ET,HOU,14.88
,,,,,,,,,PG,Dante Exum (16279188),Dante Exum,16279188,PG/G/UTIL,3000,HOU@NO 01/30/2021 08:00PM ET,HOU,12.21
,,,,,,,,,PG,Chris Clemons (16279191),Chris Clemons,16279191,PG/G/UTIL,3000,HOU@NO 01/30/2021 08:00PM ET,HOU,0
,,,,,,,,,PF,Rodions Kurucs (16279194),Rodions Kurucs,16279194,PF/F/UTIL,3000,HOU@NO 01/30/2021 08:00PM ET,HOU,3.96
,,,,,,,,,SG,Brodric Thomas (16279197),Brodric Thomas,16279197,SG/G/UTIL,3000,HOU@NO 01/30/2021 08:00PM ET,HOU,5.88
,,,,,,,,,PF,KJ Martin Jr. (16279200),KJ Martin Jr.,16279200,PF/F/UTIL,3000,HOU@NO 01/30/2021 08:00PM ET,HOU,9.25
,,,,,,,,,SF,Keita Bates-Diop (16279056),Keita Bates-Diop,16279056,SF/F/UTIL,3000,MEM@SA 01/30/2021 08:30PM ET,SA,0.38
,,,,,,,,,PF/C,Trey Lyles (16279059),Trey Lyles,16279059,PF/C/F/UTIL,3000,MEM@SA 01/30/2021 08:30PM ET,SA,7.42
,,,,,,,,,C,Drew Eubanks (16279063),Drew Eubanks,16279063,C/UTIL,3000,MEM@SA 01/30/2021 08:30PM ET,SA,13.42
,,,,,,,,,SG,Quinndary Weatherspoon (16279065),Quinndary Weatherspoon,16279065,SG/G/UTIL,3000,MEM@SA 01/30/2021 08:30PM ET,SA,-0.5
,,,,,,,,,PF,Luka Samanic (16279068),Luka Samanic,16279068,PF/F/UTIL,3000,MEM@SA 01/30/2021 08:30PM ET,SA,2
,,,,,,,,,PG,Tim Frazier (16279223),Tim Frazier,16279223,PG/G/UTIL,3000,MEM@SA 01/30/2021 08:30PM ET,MEM,6.67
,,,,,,,,,PG/SF,Justise Winslow (16279226),Justise Winslow,16279226,PG/SF/F/G/UTIL,3000,MEM@SA 01/30/2021 08:30PM ET,MEM,0
,,,,,,,,,SF,John Konchar (16279231),John Konchar,16279231,SF/F/UTIL,3000,MEM@SA 01/30/2021 08:30PM ET,MEM,18
,,,,,,,,,SF,Sean McDermott (16279234),Sean McDermott,16279234,SF/F/UTIL,3000,MEM@SA 01/30/2021 08:30PM ET,MEM,4.75
,,,,,,,,,PF,Killian Tillie (16279237),Killian Tillie,16279237,PF/F/UTIL,3000,MEM@SA 01/30/2021 08:30PM ET,MEM,0
,,,,,,,,,PF/C,Jontay Porter (16279240),Jontay Porter,16279240,PF/C/F/UTIL,3000,MEM@SA 01/30/2021 08:30PM ET,MEM,0
