QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions,,,,,,,,
,,,,,,,,,,RB,Ronald Jones II (15751450),Ronald Jones II,15751450,RB/FLEX,5300,TB@CAR 11/15/2020 01:00PM ET,TB,13.62
,,,,,,,,,,QB,Ryan Fitzpatrick (15751371),Ryan Fitzpatrick,15751371,QB,5300,LAC@MIA 11/15/2020 04:05PM ET,MIA,22.65
,,,,,,,,,,QB,Tyrod Taylor (15751372),Tyrod Taylor,15751372,QB,5300,LAC@MIA 11/15/2020 04:05PM ET,LAC,4.51
,,,,,,,,,,RB,Austin Ekeler (15751452),Austin Ekeler,15751452,RB/FLEX,5300,LAC@MIA 11/15/2020 04:05PM ET,LAC,15.55
,,,,,,,,,,QB,Alex Smith (15751375),Alex Smith,15751375,QB,5200,WAS@DET 11/15/2020 01:00PM ET,WAS,9.29
,,,,,,,,,,WR,Marvin Jones Jr. (15751698),Marvin Jones Jr.,15751698,WR/FLEX,5200,WAS@DET 11/15/2020 01:00PM ET,DET,9.98
,,,,,,,,,,RB,Melvin Gordon III (15751454),Melvin Gordon III,15751454,RB/FLEX,5200,DEN@LV 11/15/2020 04:05PM ET,DEN,14
,,,,,,,,,,QB,C.J. Beathard (15751374),C.J. Beathard,15751374,QB,5200,SF@NO 11/15/2020 04:25PM ET,SF,6.14
,,,,,,,,,,RB,Zack Moss (15751456),Zack Moss,15751456,RB/FLEX,5200,BUF@ARI 11/15/2020 04:05PM ET,BUF,9.92
,,,,,,,,,,QB,Daniel Jones (15751373),Daniel Jones,15751373,QB,5200,PHI@NYG 11/15/2020 01:00PM ET,NYG,14.24
,,,,,,,,,,WR,Diontae Johnson (15751700),Diontae Johnson,15751700,WR/FLEX,5200,CIN@PIT 11/15/2020 04:25PM ET,PIT,11.47
,,,,,,,,,,RB,D'Andre Swift (15751460),D'Andre Swift,15751460,RB/FLEX,5100,WAS@DET 11/15/2020 01:00PM ET,DET,13.09
,,,,,,,,,,TE,T.J. Hockenson (15751948),T.J. Hockenson,15751948,TE/FLEX,5100,WAS@DET 11/15/2020 01:00PM ET,DET,12.75
,,,,,,,,,,QB,Jameis Winston (15751376),Jameis Winston,15751376,QB,5100,SF@NO 11/15/2020 04:25PM ET,NO,0.18
,,,,,,,,,,RB,DeeJay Dallas (15751458),DeeJay Dallas,15751458,RB/FLEX,5100,SEA@LAR 11/15/2020 04:25PM ET,SEA,8.56
,,,,,,,,,,WR,DJ Moore (15751702),DJ Moore,15751702,WR/FLEX,5100,TB@CAR 11/15/2020 01:00PM ET,CAR,13.33
,,,,,,,,,,QB,Chase Daniel (15751378),Chase Daniel,15751378,QB,5000,WAS@DET 11/15/2020 01:00PM ET,DET,7.26
,,,,,,,,,,QB,Dwayne Haskins Jr. (15751379),Dwayne Haskins Jr.,15751379,QB,5000,WAS@DET 11/15/2020 01:00PM ET,WAS,15.14
,,,,,,,,,,RB,Phillip Lindsay (15751462),Phillip Lindsay,15751462,RB/FLEX,5000,DEN@LV 11/15/2020 04:05PM ET,DEN,8.68
,,,,,,,,,,QB,Case Keenum (15751377),Case Keenum,15751377,QB,5000,HOU@CLE 11/15/2020 01:00PM ET,CLE,1.84
,,,,,,,,,,RB,Duke Johnson (15751464),Duke Johnson,15751464,RB/FLEX,5000,HOU@CLE 11/15/2020 01:00PM ET,HOU,6.57
