Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
76,2473311352,jh181630 (8/20),0,182.66002,QB Josh Allen RB Cam Akers RB James Conner WR Stefon Diggs WR Michael Thomas FLEX Diontae Johnson WR Michael Pittman Jr. TE Mark Andrews DST Buccaneers ,,Devin Singletary,RB,1.99%,7.4
77,2473589432,dlucas10 (14/20),0,182.36,QB Lamar Jackson RB Cam Akers RB James Conner WR Stefon Diggs FLEX Diontae Johnson WR JuJu Smith-Schuster WR Corey Davis TE Mark Andrews DST WAS Football Team ,,Mike Evans,WR,1.93%,20.9
77,2473801245,biocide (2/2),0,182.36,QB Lamar Jackson RB Cam Akers RB James Conner WR Stefon Diggs FLEX Diontae Johnson WR JuJu Smith-Schuster WR Corey Davis TE Mark Andrews DST WAS Football Team ,,Miles Boykin,WR,1.88%,0
79,2473314381,Coachbox (3/18),0,182.13998,QB Ben Roethlisberger RB David Montgomery RB Cam Akers WR Stefon Diggs WR A.J. Brown WR Diontae Johnson TE Logan Thomas FLEX Eric Ebron DST Titans ,,Baker Mayfield,QB,1.82%,22.82
79,2473314483,Coachbox (9/18),0,182.13998,QB Ben Roethlisberger RB David Montgomery RB Cam Akers WR Stefon Diggs WR A.J. Brown WR Diontae Johnson TE Logan Thomas FLEX Eric Ebron DST Titans ,,Ravens ,DST,1.65%,7
79,2473323571,Coachbox (15/18),0,182.13998,QB Ben Roethlisberger RB David Montgomery RB Cam Akers WR Stefon Diggs WR A.J. Brown WR Diontae Johnson TE Logan Thomas FLEX Eric Ebron DST Titans ,,Zack Moss,RB,1.54%,8.7
82,2473465152,footballruler101 (1/7),0,181.76,QB Lamar Jackson RB Jonathan Taylor RB Cam Akers WR Stefon Diggs WR JuJu Smith-Schuster WR Marquise Brown FLEX T.Y. Hilton TE Dawson Knox DST WAS Football Team ,,Jack Doyle,TE,1.43%,22
82,2473807818,lilxi2ascal (2/3),0,181.76,QB Josh Allen RB Jonathan Taylor RB J.K. Dobbins FLEX Cam Akers WR Stefon Diggs WR JuJu Smith-Schuster WR Josh Reynolds TE Eric Ebron DST WAS Football Team ,,Bears ,DST,1.40%,3
84,2473677174,Jermmm (19/20),0,181.74,QB Ben Roethlisberger RB Alvin Kamara RB Cam Akers WR Allen Robinson II FLEX Diontae Johnson WR JuJu Smith-Schuster WR John Brown TE Austin Hooper DST Buccaneers ,,Jacob Hollister,TE,1.37%,0
85,2473637903,tater16 (2/2),0,181.56,QB Josh Allen RB Alvin Kamara FLEX J.D. McKissic RB Gus Edwards WR Stefon Diggs WR JuJu Smith-Schuster WR Marquise Brown TE Eric Ebron DST WAS Football Team ,,Taylor Heinicke,QB,1.32%,28.84
86,2473697434,RyanZaick (11/20),0,181.26001,QB Lamar Jackson RB Nick Chubb RB Cam Akers WR Stefon Diggs WR Michael Thomas WR Marquise Brown FLEX Mark Andrews TE Trey Burton DST Rams ,,Trey Burton,TE,1.32%,6.4
87,2473474470,10persaus,0,181.16,QB Josh Allen RB Cam Akers RB J.D. McKissic WR Stefon Diggs WR Michael Thomas FLEX JuJu Smith-Schuster WR Corey Davis TE Mark Andrews DST Rams ,,Lil'Jordan Humphrey,WR,1.15%,2.4
88,2473359378,delarosaR1955 (1/4),0,180.96,QB Josh Allen RB Derrick Henry RB Cam Akers WR Stefon Diggs WR A.J. Brown WR Michael Pittman Jr. FLEX Eric Ebron TE Jimmy Graham DST Rams ,,Antonio Williams,RB,1.12%,0
89,2473483103,Adlarez (2/2),0,180.89998,QB Drew Brees RB Jonathan Taylor RB Cam Akers WR DK Metcalf WR Robert Woods WR JuJu Smith-Schuster FLEX Chase Claypool TE Logan Thomas DST Seahawks ,,Darnell Mooney,WR,1.12%,0
90,2473690291,ISUXDONTHATEME (15/20),0,180.86,QB Josh Allen RB Cam Akers RB Nyheim Hines WR Stefon Diggs WR A.J. Brown FLEX Chase Claypool WR Gabriel Davis TE Mark Andrews DST Rams ,,Leonard Fournette,FLEX,0.78%,23.2
91,2473772405,corbiere1225,0,180.64001,QB Ben Roethlisberger RB Cam Akers RB Nyheim Hines WR Stefon Diggs FLEX Michael Thomas WR Diontae Johnson WR Marquise Brown TE Mark Andrews DST Seahawks ,,Scotty Miller,WR,0.76%,3.3
92,2473442576,vint_for_rent (13/20),0,180.26,QB Josh Allen RB Jonathan Taylor RB Cam Akers WR Stefon Diggs WR Marquise Brown WR Gabriel Davis FLEX Cam Sims TE Logan Thomas DST Buccaneers ,,Mo Alie-Cox,TE,0.76%,7.2
93,2473314932,jayilk,0,180.04,QB Ben Roethlisberger RB Nick Chubb RB J.K. Dobbins FLEX J.D. McKissic WR Stefon Diggs WR Diontae Johnson WR Marquise Brown TE Eric Ebron DST Seahawks ,,David Moore,WR,0.76%,1.5
94,2473693827,VIKINGfan28AllDay,0,179.96,QB Josh Allen RB Nick Chubb RB J.K. Dobbins WR Stefon Diggs WR Antonio Brown WR Chase Claypool TE Austin Hooper FLEX Jack Doyle DST Buccaneers ,,Dez Bryant,WR,0.62%,0
95,2473456520,alferrucci,0,179.76001,QB Josh Allen RB Nick Chubb RB Nyheim Hines WR Stefon Diggs FLEX Cooper Kupp WR JuJu Smith-Schuster WR Cole Beasley TE Austin Hooper DST Seahawks ,,John Wolford,QB,0.62%,1.36
96,2473647257,googlyotterr (1/3),0,179.5,QB Drew Brees RB Alvin Kamara RB Cam Akers WR Stefon Diggs WR DK Metcalf FLEX Cole Beasley WR Chase Claypool TE Jimmy Graham DST Browns ,,Gerald Everett,TE,0.59%,0
96,2473651835,googlyotterr (2/3),0,179.5,QB Drew Brees RB Alvin Kamara RB Cam Akers WR Stefon Diggs WR DK Metcalf FLEX Cole Beasley WR Chase Claypool TE Jimmy Graham DST Browns ,,Marquez Callaway,WR,0.56%,0
96,2473652038,googlyotterr (3/3),0,179.5,QB Drew Brees RB Alvin Kamara RB Cam Akers WR Stefon Diggs WR DK Metcalf FLEX Cole Beasley WR Chase Claypool TE Jimmy Graham DST Browns ,,David Njoku,TE,0.42%,1.7
99,2473341335,TheFFOracle (17/20),0,179.36,QB Lamar Jackson RB Cam Akers RB James Conner WR Stefon Diggs FLEX Diontae Johnson WR JuJu Smith-Schuster WR Corey Davis TE Mark Andrews DST Seahawks ,,Willie Snead IV,WR,0.42%,2.9
100,2473504960,Chiefs-finallydoit1 (1/2),0,179.34,QB Ben Roethlisberger RB Jonathan Taylor RB J.D. McKissic WR A.J. Brown WR Diontae Johnson WR JuJu Smith-Schuster FLEX Chase Claypool TE Jared Cook DST Colts ,,Steven Sims Jr.,WR,0.42%,12.7
101,2473637044,BCben (1/4),0,179.14,QB Ben Roethlisberger RB Derrick Henry RB Cam Akers WR Michael Thomas WR Antonio Brown FLEX JuJu Smith-Schuster WR Zach Pascal TE Austin Hooper DST Buccaneers ,,Donovan Peoples-Jones,WR,0.31%,1.8
102,2473661457,crybaby0034,0,178.84,QB Ben Roethlisberger RB Nick Chubb FLEX J.K. Dobbins RB Latavius Murray WR Diontae Johnson WR Jarvis Landry WR JuJu Smith-Schuster TE Jared Cook DST Saints ,,Cameron Brate,FLEX,0.28%,12
102,2473788119,kena2times (4/4),0,178.83998,QB Ben Roethlisberger RB Jonathan Taylor RB J.K. Dobbins WR Diontae Johnson WR JuJu Smith-Schuster FLEX Chase Claypool WR John Brown TE Logan Thomas DST Rams ,,Greg Olsen,FLEX,0.28%,0
