CPT,FLEX,FLEX,FLEX,FLEX,FLEX,,Instructions,,,,,,,,
,,,,,,,WR,Taywan Taylor (16117635),Taywan Taylor,16117635,FLEX,200,CLE@PIT 01/10/2021 08:15PM ET,CLE,0
,,,,,,,TE,Zach Gentry (16117636),Zach Gentry,16117636,FLEX,200,CLE@PIT 01/10/2021 08:15PM ET,PIT,0
,,,,,,,WR,Ja'Marcus Bradley (16117637),Ja'Marcus Bradley,16117637,FLEX,200,CLE@PIT 01/10/2021 08:15PM ET,CLE,11
,,,,,,,TE,Kevin Rader (16117638),Kevin Rader,16117638,FLEX,200,CLE@PIT 01/10/2021 08:15PM ET,PIT,0
,,,,,,,RB,D'Ernest Johnson (16117639),D'Ernest Johnson,16117639,FLEX,200,CLE@PIT 01/10/2021 08:15PM ET,CLE,1.5
,,,,,,,RB,Trey Edmunds (16117640),Trey Edmunds,16117640,FLEX,200,CLE@PIT 01/10/2021 08:15PM ET,PIT,0
,,,,,,,WR,Marvin Hall (16117641),Marvin Hall,16117641,FLEX,200,CLE@PIT 01/10/2021 08:15PM ET,CLE,5.28
,,,,,,,WR,Alexander Hollins (16117642),Alexander Hollins,16117642,FLEX,200,CLE@PIT 01/10/2021 08:15PM ET,CLE,0
,,,,,,,RB,Anthony McFarland Jr. (16117643),Anthony McFarland Jr.,16117643,FLEX,200,CLE@PIT 01/10/2021 08:15PM ET,PIT,2.06
,,,,,,,RB,Jaylen Samuels (16117644),Jaylen Samuels,16117644,FLEX,200,CLE@PIT 01/10/2021 08:15PM ET,PIT,1.82
,,,,,,,WR,JoJo Natson (16117645),JoJo Natson,16117645,FLEX,200,CLE@PIT 01/10/2021 08:15PM ET,CLE,0.1
,,,,,,,TE,Stephen Carlson (16117646),Stephen Carlson,16117646,FLEX,200,CLE@PIT 01/10/2021 08:15PM ET,CLE,0.59
,,,,,,,RB,Andy Janovich (16117647),Andy Janovich,16117647,FLEX,200,CLE@PIT 01/10/2021 08:15PM ET,CLE,0.46
,,,,,,,RB,John Kelly (16117648),John Kelly,16117648,FLEX,200,CLE@PIT 01/10/2021 08:15PM ET,CLE,0
