P,P,C,1B,2B,3B,SS,OF,OF,OF,,Instructions,,,,,,,,
,,,,,,,,,,,RP,James Pazos (13097166),James Pazos,13097166,P,4300,PHI@SF 08/08/2019 09:45PM ET,PHI,0
,,,,,,,,,,,RP,Carlos Estevez (13097227),Carlos Estevez,13097227,P,4200,COL@SD 08/08/2019 10:10PM ET,COL,2.92
,,,,,,,,,,,OF,Franchy Cordero (13097237),Franchy Cordero,13097237,OF,4200,COL@SD 08/08/2019 10:10PM ET,SD,4
,,,,,,,,,,,SP,Ryan Castellani (13097287),Ryan Castellani,13097287,P,4200,COL@SD 08/08/2019 10:10PM ET,COL,0
,,,,,,,,,,,SP,Jose Alvarez (13097136),Jose Alvarez,13097136,P,4200,PHI@SF 08/08/2019 09:45PM ET,PHI,2.54
,,,,,,,,,,,OF,Bryce Harper (13097182),Bryce Harper,13097182,OF,4200,PHI@SF 08/08/2019 09:45PM ET,PHI,8.74
,,,,,,,,,,,C,J.T. Realmuto (13097187),J.T. Realmuto,13097187,C,4200,PHI@SF 08/08/2019 09:45PM ET,PHI,7.54
,,,,,,,,,,,1B,Rhys Hoskins (13097283),Rhys Hoskins,13097283,1B,4200,PHI@SF 08/08/2019 09:45PM ET,PHI,8.69
,,,,,,,,,,,OF,Raimel Tapia (13097211),Raimel Tapia,13097211,OF,4100,COL@SD 08/08/2019 10:10PM ET,COL,5.66
,,,,,,,,,,,RP,Steven Okert (13097199),Steven Okert,13097199,P,4100,PHI@SF 08/08/2019 09:45PM ET,SF,0
,,,,,,,,,,,RP,Jake McGee (13097098),Jake McGee,13097098,P,4000,COL@SD 08/08/2019 10:10PM ET,COL,2.51
,,,,,,,,,,,RP,Craig Stammen (13097114),Craig Stammen,13097114,P,4000,COL@SD 08/08/2019 10:10PM ET,SD,3.05
,,,,,,,,,,,RP,Rayan Gonzalez (13097148),Rayan Gonzalez,13097148,P,4000,COL@SD 08/08/2019 10:10PM ET,COL,0
,,,,,,,,,,,RP,Bryan Shaw (13097149),Bryan Shaw,13097149,P,4000,COL@SD 08/08/2019 10:10PM ET,COL,2.13
,,,,,,,,,,,RP,Ryan Bollinger (13097167),Ryan Bollinger,13097167,P,4000,COL@SD 08/08/2019 10:10PM ET,SD,0
,,,,,,,,,,,RP,Kirby Yates (13097168),Kirby Yates,13097168,P,4000,COL@SD 08/08/2019 10:10PM ET,SD,4.81
,,,,,,,,,,,RP,Jairo Diaz (13097169),Jairo Diaz,13097169,P,4000,COL@SD 08/08/2019 10:10PM ET,COL,2.96
