QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions,,,,,,,,
,,,,,,,,,,RB,Dalvin Cook (30500647),Dalvin Cook,30500647,RB/FLEX,4600,NYJ@NYG 10/29/2023 01:00PM ET,NYJ,3.92
,,,,,,,,,,QB,Mitch Trubisky (30500523),Mitch Trubisky,30500523,QB,4600,JAX@PIT 10/29/2023 01:00PM ET,PIT,0.72
,,,,,,,,,,TE,Dallas Goedert (30501361),Dallas Goedert,30501361,TE/FLEX,4600,PHI@WAS 10/29/2023 01:00PM ET,PHI,11.2
,,,,,,,,,,QB,Dorian Thompson-Robinson (30500521),Dorian Thompson-Robinson,30500521,QB,4600,CLE@SEA 10/29/2023 04:05PM ET,CLE,2.12
,,,,,,,,,,QB,Drew Lock (30500522),Drew Lock,30500522,QB,4600,CLE@SEA 10/29/2023 04:05PM ET,SEA,3.62
,,,,,,,,,,QB,Blaine Gabbert (30500525),Blaine Gabbert,30500525,QB,4600,KC@DEN 10/29/2023 04:25PM ET,KC,-0.86
,,,,,,,,,,QB,Jarrett Stidham (30500527),Jarrett Stidham,30500527,QB,4600,KC@DEN 10/29/2023 04:25PM ET,DEN,0
,,,,,,,,,,RB,Jerick McKinnon (30500645),Jerick McKinnon,30500645,RB/FLEX,4600,KC@DEN 10/29/2023 04:25PM ET,KC,5.69
,,,,,,,,,,QB,Jake Browning (30500526),Jake Browning,30500526,QB,4600,CIN@SF 10/29/2023 04:25PM ET,CIN,-0.1
,,,,,,,,,,WR,Tyler Boyd (30500939),Tyler Boyd,30500939,WR/FLEX,4600,CIN@SF 10/29/2023 04:25PM ET,CIN,9.4
,,,,,,,,,,QB,Andy Dalton (30500529),Andy Dalton,30500529,QB,4500,HOU@CAR 10/29/2023 01:00PM ET,CAR,8.88
,,,,,,,,,,QB,Davis Mills (30500534),Davis Mills,30500534,QB,4500,HOU@CAR 10/29/2023 01:00PM ET,HOU,0
,,,,,,,,,,QB,Cooper Rush (30500536),Cooper Rush,30500536,QB,4500,LAR@DAL 10/29/2023 01:00PM ET,DAL,0.24
,,,,,,,,,,QB,Sean Clifford (30500532),Sean Clifford,30500532,QB,4500,MIN@GB 10/29/2023 01:00PM ET,GB,0
,,,,,,,,,,QB,Sam Ehlinger (30500528),Sam Ehlinger,30500528,QB,4500,NO@IND 10/29/2023 01:00PM ET,IND,0
,,,,,,,,,,QB,Bailey Zappe (30500533),Bailey Zappe,30500533,QB,4500,NE@MIA 10/29/2023 01:00PM ET,NE,1.58
,,,,,,,,,,RB,Jeff Wilson Jr. (30500659),Jeff Wilson Jr.,30500659,RB/FLEX,4500,NE@MIA 10/29/2023 01:00PM ET,MIA,1.4
,,,,,,,,,,TE,Evan Engram (30501363),Evan Engram,30501363,TE/FLEX,4500,JAX@PIT 10/29/2023 01:00PM ET,JAX,10.8
,,,,,,,,,,QB,Taylor Heinicke (30500535),Taylor Heinicke,30500535,QB,4500,ATL@TEN 10/29/2023 01:00PM ET,ATL,0
,,,,,,,,,,QB,Marcus Mariota (30500530),Marcus Mariota,30500530,QB,4500,PHI@WAS 10/29/2023 01:00PM ET,PHI,0
,,,,,,,,,,QB,Jacoby Brissett (30500531),Jacoby Brissett,30500531,QB,4500,PHI@WAS 10/29/2023 01:00PM ET,WAS,0
,,,,,,,,,,RB,Antonio Gibson (30500655),Antonio Gibson,30500655,RB/FLEX,4500,PHI@WAS 10/29/2023 01:00PM ET,WAS,6.04
,,,,,,,,,,RB,Kenneth Gainwell (30500657),Kenneth Gainwell,30500657,RB/FLEX,4500,PHI@WAS 10/29/2023 01:00PM ET,PHI,6.17
,,,,,,,,,,WR,Jahan Dotson (30500943),Jahan Dotson,30500943,WR/FLEX,4500,PHI@WAS 10/29/2023 01:00PM ET,WAS,6.61
,,,,,,,,,,RB,Keaontay Ingram (30500653),Keaontay Ingram,30500653,RB/FLEX,4500,BAL@ARI 10/29/2023 04:25PM ET,ARI,2.08
,,,,,,,,,,RB,Devin Singletary (30500661),Devin Singletary,30500661,RB/FLEX,4400,HOU@CAR 10/29/2023 01:00PM ET,HOU,4.57
,,,,,,,,,,WR,Tutu Atwell (30500945),Tutu Atwell,30500945,WR/FLEX,4400,LAR@DAL 10/29/2023 01:00PM ET,LAR,11.96
,,,,,,,,,,RB,Ty Chandler (30500665),Ty Chandler,30500665,RB/FLEX,4400,MIN@GB 10/29/2023 01:00PM ET,MIN,1.93
,,,,,,,,,,RB,Matt Breida (30500663),Matt Breida,30500663,RB/FLEX,4400,NYJ@NYG 10/29/2023 01:00PM ET,NYG,4.61
