C,C,W,W,W,D,D,G,UTIL,,Instructions,,,,,,,,
,,,,,,,,,,C,Anthony Cirelli (16326501),Anthony Cirelli,16326501,C/UTIL,5100,DET@TB 02/05/2021 07:00PM ET,TB,10.01
,,,,,,,,,,D,Erik Karlsson (16327033),Erik Karlsson,16327033,D/UTIL,5100,SJ@ANH 02/05/2021 10:00PM ET,SJ,6.61
,,,,,,,,,,D,Keith Yandle (16327035),Keith Yandle,16327035,D/UTIL,5000,NSH@FLA 02/05/2021 07:00PM ET,FLA,9.9
,,,,,,,,,,C,William Karlsson (16326503),William Karlsson,16326503,C/UTIL,5000,LA@VGK 02/05/2021 10:00PM ET,VGK,7.5
,,,,,,,,,,LW,Jonathan Marchessault (16326711),Jonathan Marchessault,16326711,W/UTIL,5000,LA@VGK 02/05/2021 10:00PM ET,VGK,8.09
,,,,,,,,,,LW,Timo Meier (16326713),Timo Meier,16326713,W/UTIL,4900,SJ@ANH 02/05/2021 10:00PM ET,SJ,9.7
,,,,,,,,,,LW,James van Riemsdyk (16326717),James van Riemsdyk,16326717,W/UTIL,4800,BOS@PHI 02/05/2021 07:00PM ET,PHI,12.44
,,,,,,,,,,LW,Alex Iafallo (16326715),Alex Iafallo,16326715,W/UTIL,4800,LA@VGK 02/05/2021 10:00PM ET,LA,8.8
,,,,,,,,,,LW,Carter Verhaeghe (16326719),Carter Verhaeghe,16326719,W/UTIL,4700,NSH@FLA 02/05/2021 07:00PM ET,FLA,10.66
,,,,,,,,,,RW,Rickard Rakell (16326721),Rickard Rakell,16326721,W/UTIL,4700,SJ@ANH 02/05/2021 10:00PM ET,ANH,8.27
,,,,,,,,,,C,David Krejci (16326505),David Krejci,16326505,C/UTIL,4600,BOS@PHI 02/05/2021 07:00PM ET,BOS,8.08
,,,,,,,,,,LW,Alex Killorn (16326723),Alex Killorn,16326723,W/UTIL,4600,DET@TB 02/05/2021 07:00PM ET,TB,9.08
,,,,,,,,,,LW,Tyler Bertuzzi (16326725),Tyler Bertuzzi,16326725,W/UTIL,4600,DET@TB 02/05/2021 07:00PM ET,DET,9.6
,,,,,,,,,,D,Filip Hronek (16327037),Filip Hronek,16327037,D/UTIL,4600,DET@TB 02/05/2021 07:00PM ET,DET,7.16
,,,,,,,,,,D,Mikhail Sergachev (16327039),Mikhail Sergachev,16327039,D/UTIL,4500,DET@TB 02/05/2021 07:00PM ET,TB,7.19
,,,,,,,,,,C,Matt Duchene (16326507),Matt Duchene,16326507,C/UTIL,4500,NSH@FLA 02/05/2021 07:00PM ET,NSH,7.4
,,,,,,,,,,RW,Anthony Duclair (16326727),Anthony Duclair,16326727,W/UTIL,4500,NSH@FLA 02/05/2021 07:00PM ET,FLA,8.54
,,,,,,,,,,RW,Jeff Carter (16326729),Jeff Carter,16326729,W/UTIL,4500,LA@VGK 02/05/2021 10:00PM ET,LA,9.44
,,,,,,,,,,LW,Claude Giroux (16326731),Claude Giroux,16326731,W/UTIL,4400,BOS@PHI 02/05/2021 07:00PM ET,PHI,7.44
,,,,,,,,,,D,Matt Grzelcyk (16327041),Matt Grzelcyk,16327041,D/UTIL,4400,BOS@PHI 02/05/2021 07:00PM ET,BOS,8.54
,,,,,,,,,,RW,Reilly Smith (16326733),Reilly Smith,16326733,W/UTIL,4400,LA@VGK 02/05/2021 10:00PM ET,VGK,7.2
,,,,,,,,,,C,Sean Couturier (16326509),Sean Couturier,16326509,C/UTIL,4300,BOS@PHI 02/05/2021 07:00PM ET,PHI,3.9
,,,,,,,,,,RW,Alex Tuch (16326735),Alex Tuch,16326735,W/UTIL,4300,LA@VGK 02/05/2021 10:00PM ET,VGK,9.93
,,,,,,,,,,RW,Mikael Granlund (16326737),Mikael Granlund,16326737,W/UTIL,4200,NSH@FLA 02/05/2021 07:00PM ET,NSH,11.99
,,,,,,,,,,RW,Kevin Labanc (16326739),Kevin Labanc,16326739,W/UTIL,4200,SJ@ANH 02/05/2021 10:00PM ET,SJ,8.92
,,,,,,,,,,RW,Jakub Voracek (16326741),Jakub Voracek,16326741,W/UTIL,4100,BOS@PHI 02/05/2021 07:00PM ET,PHI,9.16
,,,,,,,,,,LW,Jake DeBrusk (16326743),Jake DeBrusk,16326743,W/UTIL,4100,BOS@PHI 02/05/2021 07:00PM ET,BOS,3.77
