Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
62,1638424435,Vo2kaSo2a,0,123.7,C Tomas Hertl C Ryan O'Reilly UTIL Jean-Gabriel Pageau W Leon Draisaitl W William Nylander W Reilly Smith D Justin Faulk D Tyler Myers G Frederik Andersen,,Danil Yurtaykin,W,4.21%,0
63,1638416131,kevinuff,0,123.4,C Auston Matthews C Evgeny Kuznetsov UTIL Tyler Bozak W Vladimir Tarasenko W Brady Tkachuk W Tanner Pearson D Tyson Barrie D Deryk Engelland G Frederik Andersen,,Tanner Pearson,W,4.00%,29.3
64,1638401557,ddt802016,0,123.3,C Connor McDavid C Ryan O'Reilly UTIL Tyler Bozak W Leon Draisaitl W Reilly Smith W Tom Wilson D Tyler Myers D Nate Schmidt G Mike Smith,,Deryk Engelland,D,4.00%,6.9
65,1638399016,TrevorJ40,0,123,C Auston Matthews UTIL Ryan O'Reilly C Artem Anisimov W T.J. Oshie W Brandon Pirri W David Perron D Alex Pietrangelo D Alexander Edler G Braden Holtby,,Richard Panik,W,3.79%,1.3
66,1638399679,Royalblue (1/10),0,122.7,C Auston Matthews C Chris Tierney W Mitchell Marner W Brady Tkachuk W Alexander Steen UTIL Thomas Chabot D Tyson Barrie D Alexander Edler G Jacob Markstrom,,Craig Anderson,G,3.79%,11.4
67,1638418909,l2ichard,0,122.5,C Paul Stastny C Cody Glass W Mark Stone W Max Pacioretty W Brady Tkachuk D Morgan Rielly UTIL Alexander Edler D Justin Faulk G Marc-Andre Fleury,,Martin Jones,G,3.79%,7.7
68,1638418147,BeltWieldindad (7/11),0,122.2,C Auston Matthews C Cody Glass W Mark Stone UTIL Max Pacioretty W William Nylander W Andreas Johnsson D Oscar Klefbom D Nikita Zaitsev G Marc-Andre Fleury,,J.T. Miller,W,3.79%,5
69,1638425453,dozarks33 (9/14),0,122.1,C Auston Matthews C Ryan Nugent-Hopkins UTIL Leon Draisaitl W Andreas Johnsson W Kasperi Kapanen W Alex Chiasson D Tyson Barrie D Radko Gudas G Frederik Andersen,,Jean-Gabriel Pageau,UTIL,3.79%,5
70,1638416378,TheHatchet (1/2),0,121.5,C Connor McDavid C Auston Matthews UTIL Cody Glass W Alex Ovechkin W Joakim Nygard W Trevor Moore D Justin Faulk D Colton Parayko G Mike Smith,,Robert Thomas,W,3.58%,1.5
71,1638401576,radiomike (10/14),0,121.3,UTIL Auston Matthews C Jean-Gabriel Pageau C Cody Glass W Alex Ovechkin W Mark Stone W Jaden Schwartz D Shea Theodore D Dylan DeMelo G Mike Smith,,Marc-Edouard Vlasic,D,3.58%,8.4
72,1638424457,Lamoosh2332 (13/14),0,121.1,C Connor McDavid C Ryan Nugent-Hopkins UTIL Colin White W Leon Draisaitl W Micheal Ferland W Tanner Pearson D Shea Theodore D Tyler Myers G Craig Anderson,,Colton Parayko,D,3.58%,4.5
73,1638406827,Emac (2/14),0,120.6,UTIL Auston Matthews C John Tavares C Colin White W Mitchell Marner W Brady Tkachuk W Connor Brown D Alexander Edler D Nick Holden G Mike Smith,,Erik Karlsson,D,3.37%,0
74,1638425457,dozarks33 (13/14),0,119.7,C Auston Matthews C Cody Glass UTIL Mark Stone W Max Pacioretty W William Nylander W Andreas Johnsson D Tyson Barrie D Radko Gudas G Jacob Markstrom,,Kris Russell,D,3.37%,2.6
75,1638399680,Royalblue (2/10),0,119.5,UTIL Auston Matthews C Ryan O'Reilly C Alexander Kerfoot W Mitchell Marner W Brady Tkachuk W Alexander Steen D Tyson Barrie D Alexander Edler G Jacob Markstrom,,Nicklas Backstrom,C,3.37%,10.5
76,1638399178,mdent77,0,119.1,C Ryan Nugent-Hopkins C Cody Glass W Leon Draisaitl UTIL Jonathan Marchessault W Max Pacioretty W Kasperi Kapanen D Alexander Edler D Oscar Klefbom G Frederik Andersen,,John Carlson,D,3.37%,11.3
76,1638402592,ndesmarais15 (1/14),0,119.1,C Auston Matthews C Bo Horvat UTIL Brayden Schenn W William Nylander W Jaden Schwartz W Tanner Pearson D Alexander Edler D Justin Faulk G Frederik Andersen,,Vince Dunn,D,2.95%,0
78,1638399974,capecouple2001,0,118.8,C Nicklas Backstrom UTIL Bo Horvat C Lars Eller W Alex Ovechkin W Reilly Smith W Brandon Pirri D Quinn Hughes D Dmitry Orlov G Marc-Andre Fleury,,T.J. Oshie,W,2.95%,9.5
79,1638416557,seansarahs,0,118.1,C Auston Matthews C Brayden Schenn W Leon Draisaitl UTIL Jonathan Marchessault W Jaden Schwartz W Bobby Ryan D Oscar Klefbom D Nikita Zaitsev G Mike Smith,,Dylan DeMelo,D,2.95%,8.4
80,1638417765,TheHatchet (2/2),0,118,C Connor McDavid C Alexander Kerfoot UTIL Cody Glass W Leon Draisaitl W Mitchell Marner W Alex Chiasson D Morgan Rielly D Alex Pietrangelo G Mike Smith,,Tyler Bozak,UTIL,2.95%,1.5
81,1638429217,SankYouVeryMuch,0,117.6,C William Karlsson C Tomas Hertl UTIL T.J. Oshie W Reilly Smith W Tom Wilson W Jaden Schwartz D Alexander Edler D Cody Ceci G Braden Holtby,,Colin White,C,2.74%,6.5
