C,C,W,W,W,D,D,G,UTIL,,Instructions,,,,,,,,
,,,,,,,,,,RW,Richard Panik (13457150),Richard Panik,13457150,W/UTIL,3400,WAS@STL 10/02/2019 08:00PM ET,WAS,6.58
,,,,,,,,,,D,Dmitry Orlov (13457364),Dmitry Orlov,13457364,D/UTIL,3400,WAS@STL 10/02/2019 08:00PM ET,WAS,5.41
,,,,,,,,,,RW,Jake Virtanen (13457148),Jake Virtanen,13457148,W/UTIL,3400,VAN@EDM 10/02/2019 10:00PM ET,VAN,6.52
,,,,,,,,,,C,Joe Thornton (13456964),Joe Thornton,13456964,C/UTIL,3400,SJ@VGK 10/02/2019 10:30PM ET,SJ,6.36
,,,,,,,,,,D,Ron Hainsey (13457370),Ron Hainsey,13457370,D/UTIL,3300,OTT@TOR 10/02/2019 07:00PM ET,OTT,5.35
,,,,,,,,,,LW,Carl Hagelin (13457152),Carl Hagelin,13457152,W/UTIL,3300,WAS@STL 10/02/2019 08:00PM ET,WAS,4.89
,,,,,,,,,,D,Radko Gudas (13457368),Radko Gudas,13457368,D/UTIL,3300,WAS@STL 10/02/2019 08:00PM ET,WAS,6.38
,,,,,,,,,,C,Markus Granlund (13457154),Markus Granlund,13457154,C/UTIL,3300,VAN@EDM 10/02/2019 10:00PM ET,EDM,4.86
,,,,,,,,,,D,Adam Larsson (13457366),Adam Larsson,13457366,D/UTIL,3300,VAN@EDM 10/02/2019 10:00PM ET,EDM,5.54
,,,,,,,,,,D,Jimmy Schuldt (13457372),Jimmy Schuldt,13457372,D/UTIL,3300,SJ@VGK 10/02/2019 10:30PM ET,VGK,7.8
,,,,,,,,,,C,Alexander Kerfoot (13456966),Alexander Kerfoot,13456966,C/UTIL,3200,OTT@TOR 10/02/2019 07:00PM ET,TOR,5.81
,,,,,,,,,,RW,Jason Spezza (13457160),Jason Spezza,13457160,W/UTIL,3200,OTT@TOR 10/02/2019 07:00PM ET,TOR,5.15
,,,,,,,,,,LW,Zach Sanford (13457156),Zach Sanford,13457156,W/UTIL,3200,WAS@STL 10/02/2019 08:00PM ET,STL,4.85
,,,,,,,,,,D,Carl Gunnarsson (13457374),Carl Gunnarsson,13457374,D/UTIL,3200,WAS@STL 10/02/2019 08:00PM ET,STL,4.19
,,,,,,,,,,RW,Josh Leivo (13457158),Josh Leivo,13457158,W/UTIL,3200,VAN@EDM 10/02/2019 10:00PM ET,VAN,5.62
,,,,,,,,,,D,Joel Persson (13457376),Joel Persson,13457376,D/UTIL,3200,VAN@EDM 10/02/2019 10:00PM ET,EDM,0
,,,,,,,,,,C,Cody Eakin (13456968),Cody Eakin,13456968,C/UTIL,3200,SJ@VGK 10/02/2019 10:30PM ET,VGK,6.58
,,,,,,,,,,RW,Barclay Goodrow (13457162),Barclay Goodrow,13457162,W/UTIL,3200,SJ@VGK 10/02/2019 10:30PM ET,SJ,3.8
,,,,,,,,,,LW,Tyler Ennis (13457164),Tyler Ennis,13457164,W/UTIL,3100,OTT@TOR 10/02/2019 07:00PM ET,OTT,5.22
,,,,,,,,,,C,Nic Dowd (13456970),Nic Dowd,13456970,C/UTIL,3100,WAS@STL 10/02/2019 08:00PM ET,WAS,3.96
,,,,,,,,,,D,Christopher Tanev (13457378),Christopher Tanev,13457378,D/UTIL,3100,VAN@EDM 10/02/2019 10:00PM ET,VAN,5.49
,,,,,,,,,,RW,Dylan Gambrell (13456972),Dylan Gambrell,13456972,W/UTIL,3100,SJ@VGK 10/02/2019 10:30PM ET,SJ,2.33
,,,,,,,,,,D,Nikita Zaitsev (13457382),Nikita Zaitsev,13457382,D/UTIL,3000,OTT@TOR 10/02/2019 07:00PM ET,OTT,4.64
,,,,,,,,,,RW,Oskar Sundqvist (13457168),Oskar Sundqvist,13457168,W/UTIL,3000,WAS@STL 10/02/2019 08:00PM ET,STL,5.61
,,,,,,,,,,C,Adam Gaudette (13456974),Adam Gaudette,13456974,C/UTIL,3000,VAN@EDM 10/02/2019 10:00PM ET,VAN,3.2
,,,,,,,,,,LW,Antoine Roussel (13457166),Antoine Roussel,13457166,W/UTIL,3000,VAN@EDM 10/02/2019 10:00PM ET,VAN,5.81
,,,,,,,,,,RW,Alex Chiasson (13457170),Alex Chiasson,13457170,W/UTIL,3000,VAN@EDM 10/02/2019 10:00PM ET,EDM,6.81
,,,,,,,,,,D,Jordie Benn (13457380),Jordie Benn,13457380,D/UTIL,3000,VAN@EDM 10/02/2019 10:00PM ET,VAN,5.35
,,,,,,,,,,D,Brayden McNabb (13457384),Brayden McNabb,13457384,D/UTIL,3000,SJ@VGK 10/02/2019 10:30PM ET,VGK,4.98
,,,,,,,,,,C,Chris Tierney (13456976),Chris Tierney,13456976,C/UTIL,2900,OTT@TOR 10/02/2019 07:00PM ET,OTT,6.37
,,,,,,,,,,RW,Mikkel Boedker (13457176),Mikkel Boedker,13457176,W/UTIL,2900,OTT@TOR 10/02/2019 07:00PM ET,OTT,5.18
,,,,,,,,,,RW,Trevor Moore (13457182),Trevor Moore,13457182,W/UTIL,2900,OTT@TOR 10/02/2019 07:00PM ET,TOR,3.52
,,,,,,,,,,RW,Scott Sabourin (13457184),Scott Sabourin,13457184,W/UTIL,2900,OTT@TOR 10/02/2019 07:00PM ET,OTT,0
