Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
60,2427522348,LifetimeLonghorn,0,119.26,DST Cardinals  WR Larry Fitzgerald TE Travis Kelce WR Robert Woods FLEX Sammy Watkins QB Jared Goff RB Miles Sanders WR Jalen Reagor RB Cam Akers,,Bennie Fowler III,WR,1.00%,0
61,2427284883,BullDogMick,0,119.14001,DST Saints  WR Sammy Watkins RB Kenyan Drake FLEX Alvin Kamara TE Dallas Goedert WR Tyreek Hill WR Travis Fulgham QB Kyler Murray RB Clyde Edwards-Helaire,,Maxx Williams,FLEX,1.00%,5.2
62,2427218170,GameRocker,0,119.04,DST Rams  TE Jared Cook WR Emmanuel Sanders FLEX Travis Kelce WR Robert Woods RB Kenyan Drake QB Kyler Murray WR Denzel Mims RB Cam Akers,,,
63,2426620289,LongBendyToe3,0,118.060005,DST Chiefs  QB Drew Brees TE Travis Kelce WR Jamison Crowder WR Sammy Watkins FLEX Alvin Kamara RB Chase Edmonds WR Christian Kirk RB Miles Sanders,,,
64,2427428201,txaggie_95,0,117.42,DST Rams  TE Jared Cook WR Emmanuel Sanders FLEX Travis Kelce WR Cooper Kupp RB Boston Scott RB Alvin Kamara WR Christian Kirk QB Jalen Hurts,,,
65,2427505722,bickeyeKEETON,0,116.96,DST Rams  TE Jared Cook WR Robert Woods WR DeAndre Hopkins WR Jamison Crowder QB Jared Goff RB Alvin Kamara FLEX Adam Trautman RB Cam Akers,,,
66,2427463529,Harris718,0,116.16,DST Rams  FLEX Emmanuel Sanders RB Latavius Murray WR Robert Woods TE Tyler Higbee WR Breshad Perriman RB Kenyan Drake WR Tyreek Hill QB Patrick Mahomes,,,
67,2427284582,ctone808,0,115.560005,DST Rams  RB Le'Veon Bell WR DeAndre Hopkins RB Kenyan Drake WR Tyreek Hill QB Patrick Mahomes FLEX Christian Kirk WR Andy Isabella TE Dan Arnold,,,
68,2426626006,Mr.BadGuy,0,115.460014,DST Rams  WR Emmanuel Sanders FLEX DeAndre Hopkins TE Tyler Higbee WR Cooper Kupp QB Jared Goff RB Alvin Kamara WR Christian Kirk RB Darrell Henderson Jr.,,,
69,2427275053,adoorlag,0,114.56001,DST Rams  WR Robert Woods TE Tyler Higbee FLEX Kenyan Drake RB Alvin Kamara QB Patrick Mahomes WR Denzel Mims WR Jalen Reagor RB Clyde Edwards-Helaire,,,
70,2427470509,Kfresh638,0,114.24,DST Cardinals  TE Travis Kelce RB Kenyan Drake WR Josh Reynolds WR Tyreek Hill FLEX Tre'Quan Smith WR Christian Kirk QB Kyler Murray RB Cam Akers,,,
71,2427321377,buba5862,0,113.36,DST Rams  FLEX Emmanuel Sanders WR Robert Woods TE Tyler Higbee WR Cooper Kupp QB Jared Goff RB Alvin Kamara WR Mecole Hardman RB Cam Akers,,,
72,2427476812,shift832,0,112.66,DST Cardinals  QB Drew Brees WR Robert Woods RB Alvin Kamara TE Dallas Goedert WR Tyreek Hill WR Tre'Quan Smith FLEX Christian Kirk RB Cam Akers,,,
73,2427500017,funkadelia,0,111.86,DST Cardinals  WR Emmanuel Sanders FLEX Robert Woods WR Breshad Perriman WR Tyreek Hill TE Gerald Everett QB Patrick Mahomes RB Cam Akers RB Clyde Edwards-Helaire,,,
74,2427456672,mythicalrhymer01,0,110.86,DST Cardinals  QB Drew Brees WR Emmanuel Sanders TE Travis Kelce RB Kenyan Drake WR Cooper Kupp FLEX Alvin Kamara WR Tre'Quan Smith RB Clyde Edwards-Helaire,,,
75,2427447383,braylon23w2,0,110.16,DST Saints  TE Zach Ertz WR Robert Woods FLEX Sammy Watkins WR Breshad Perriman RB Kenyan Drake WR Tyreek Hill QB Patrick Mahomes RB Clyde Edwards-Helaire,,,
76,2427443430,GBohn,0,109.36001,DST Chiefs  FLEX Alshon Jeffery WR Robert Woods WR Sammy Watkins RB Kenyan Drake TE Dallas Goedert WR Tyreek Hill QB Patrick Mahomes RB Clyde Edwards-Helaire,,,
77,2427454901,2Raidets13,0,108.46001,DST Eagles  WR Emmanuel Sanders TE Travis Kelce RB Latavius Murray WR Sammy Watkins QB Jared Goff WR Tyreek Hill FLEX Christian Kirk RB Cam Akers,,,
78,2427392123,budzilla30,0,107.560005,DST Cardinals  FLEX Emmanuel Sanders WR Breshad Perriman RB Kenyan Drake RB Alvin Kamara TE Dallas Goedert WR Tyreek Hill QB Patrick Mahomes WR Christian Kirk,,,
79,2427541517,tflats817,0,106.26001,DST Chiefs  WR Robert Woods WR DeAndre Hopkins FLEX Cooper Kupp QB Jared Goff TE Dallas Goedert WR Travis Fulgham RB Darrell Henderson Jr. RB Clyde Edwards-Helaire,,,
80,2427403743,Bonz69,0,105.96001,DST Rams  WR Emmanuel Sanders TE Travis Kelce FLEX Latavius Murray WR Robert Woods RB Kenyan Drake WR Josh Reynolds QB Patrick Mahomes RB Darrell Henderson Jr.,,,
81,2427383765,316johnreese316,0,103.66,DST Rams  QB Drew Brees WR Larry Fitzgerald TE Jared Cook WR Emmanuel Sanders RB Alvin Kamara WR Tyreek Hill RB Cam Akers FLEX Clyde Edwards-Helaire,,,
82,2427525721,nikrod2000,0,102.66,DST Rams  WR Emmanuel Sanders WR Jamison Crowder QB Jared Goff TE Dallas Goedert WR Tyreek Hill FLEX Chase Edmonds RB Miles Sanders RB Clyde Edwards-Helaire,,,
83,2427541229,ASHTONC13,0,102.26001,DST Rams  WR Emmanuel Sanders TE Travis Kelce WR Bennie Fowler III WR Sammy Watkins RB Alvin Kamara QB Patrick Mahomes FLEX Darrell Henderson Jr. RB Clyde Edwards-Helaire,,,
84,2427222208,MrIceWater41,0,101.56,DST Rams  QB Drew Brees FLEX Emmanuel Sanders TE Travis Kelce WR Sammy Watkins RB Alvin Kamara WR Josh Reynolds WR Christian Kirk RB Cam Akers,,,
85,2427469385,adroitaffaires,0,101.46001,DST Rams  QB Drew Brees TE Tyler Higbee RB Kenyan Drake FLEX Alvin Kamara WR Tyreek Hill WR Travis Fulgham WR Christian Kirk RB Clyde Edwards-Helaire,,,
86,2427415922,Dashkit,0,100.560005,DST Rams  TE Travis Kelce RB Latavius Murray WR Robert Woods WR Cooper Kupp QB Jared Goff FLEX Dallas Goedert RB Darrell Henderson Jr. WR Jalen Reagor,,,
